%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.028799999	2.70114E-07	5.11569E-07	-1.26459E-06	1.80482E-06	4.9293E-07	2.24336E-07	-1.80079E-07	1.16594E-06	0.004451148	0.00059242	0.002673888	0.006228408	0	0	0	0	-0.003109318	0.002652987	-0.011068281	0.004849644
0.029599999	3.12306E-07	5.97328E-07	-1.47968E-06	2.10429E-06	4.84647E-07	2.10997E-07	-1.48343E-07	1.11764E-06	0.004137909	0.00057394	0.002416089	0.00585973	0	0	0	0	-0.003216888	0.002503242	-0.010726614	0.004292838
0.030399999	3.6582E-07	6.24221E-07	-1.50684E-06	2.23848E-06	4.70572E-07	1.80969E-07	-7.23362E-08	1.01348E-06	0.004045775	0.000523308	0.00247585	0.0056157	0	0	0	0	-0.00310951	0.002625897	-0.010987201	0.004768181
0.031199999	3.43886E-07	6.19245E-07	-1.51385E-06	2.20162E-06	4.65091E-07	1.63096E-07	-2.4197E-08	9.54379E-07	0.003898366	0.000429817	0.002608916	0.005187815	0	0	0	0	-0.003061297	0.002507867	-0.010584897	0.004462302
0.031999999	3.74491E-07	6.72062E-07	-1.6417E-06	2.39068E-06	4.66853E-07	1.74031E-07	-5.52413E-08	9.88947E-07	0.003640399	0.000476869	0.002209791	0.005071006	0	0	0	0	-0.003124003	0.002607698	-0.010947098	0.004699092
0.032799999	4.56863E-07	7.34512E-07	-1.74667E-06	2.6604E-06	4.743E-07	1.7338E-07	-4.58407E-08	9.9444E-07	0.003548265	0.000512531	0.002010673	0.005085856	0	0	0	0	-0.003018402	0.002608095	-0.010842685	0.004805882
0.033599999	5.02509E-07	7.52087E-07	-1.75375E-06	2.75877E-06	4.84743E-07	1.70756E-07	-2.75237E-08	9.9701E-07	0.003290314	0.000517664	0.001737321	0.004843308	0	0	0	0	-0.003074523	0.002582748	-0.010822767	0.004673722
0.034399999	4.35363E-07	6.30272E-07	-1.45545E-06	2.32618E-06	4.91442E-07	1.72456E-07	-2.59246E-08	1.00881E-06	0.00301394	0.000518459	0.001458562	0.004569318	0	0	0	0	-0.003145109	0.002618125	-0.010999483	0.004709265
0.035199999	2.98501E-07	5.80575E-07	-1.44322E-06	2.04023E-06	4.73625E-07	1.7615E-07	-5.48259E-08	1.00208E-06	0.002921817	0.000470673	0.001509797	0.004333837	0	0	0	0	-0.003033632	0.002541196	-0.010657221	0.004589957
0.035999999	3.8325E-07	7.03095E-07	-1.72604E-06	2.49254E-06	4.45108E-07	1.77293E-07	-8.67717E-08	9.76988E-07	0.002811267	0.000495833	0.001323769	0.004298765	0	0	0	0	-0.002952935	0.002542445	-0.01058027	0.0046744
