%	Polynom 5te Ordnung		kombinierte Traces									
Zeit	Geschwindigkeit	StandardabweichungGeschwindigkeit	Drehmoment	StandardabweichungDrehmoment	Position	StandardabweichungPosition	Schleppfehler	StandardabweichungSchleppfehler	Positionsdifferenz	StandardabweichungPositionsdifferenz	Stromstaerke	StandardabweichungStromstaerke
0.047599999	63.19435995	2.304121823	-21.4882909	0.778878983	25.85433773	0.383072294	-0.012945174	0.004775489	0.041646475	0.008980827	-36.41336269	2.000493963
0.047999999	61.65639773	2.368952009	-21.98252147	0.841562385	26.10231287	0.373581784	-0.014681447	0.005096368	0.040124184	0.008955755	-37.61411652	2.166109417
0.048399999	60.08050171	2.398709328	-22.33449812	0.684595624	26.34397656	0.363937656	-0.016162031	0.004856403	0.0389282	0.008755592	-38.2637445	1.633442107
0.048799999	58.49154626	2.455198245	-22.65116183	0.807188615	26.57922595	0.354154305	-0.018045467	0.005159538	0.037366172	0.009025784	-39.05030643	2.263771927
0.049199999	56.86920301	2.48553957	-23.02615701	0.704143272	26.80796231	0.344243212	-0.019699716	0.004872844	0.036113844	0.008922863	-39.9802914	1.720215489
0.049599999	55.23138375	2.521592493	-23.33502579	0.581261452	27.03010409	0.334214401	-0.021461783	0.005123831	0.034790872	0.008897013	-40.63043796	1.60199981
0.049999999	53.55591523	2.542440541	-23.71835611	0.755414865	27.24556156	0.324082904	-0.023545657	0.004793415	0.033196178	0.008664355	-41.68204483	2.182996879
0.050399999	51.86209862	2.586351931	-24.00885201	0.632524545	27.45427001	0.31386148	-0.025486976	0.004875907	0.03171239	0.008511226	-42.16269228	1.633767519
0.050799999	50.14444157	2.601175467	-24.19781816	0.558121473	27.65616623	0.303562582	-0.02771293	0.004705077	0.029906748	0.008774144	-42.60963949	1.743534372
0.051199999	48.41443858	2.628951987	-24.55057952	0.629956552	27.85119038	0.293194795	-0.029206046	0.004768983	0.02881016	0.008831439	-43.6259993	1.730153487
0.051599999	46.65233118	2.66405495	-24.71283146	0.539785513	28.03930283	0.282778009	-0.030931395	0.004877272	0.02736076	0.008917905	-43.64867648	1.423199763
0.051999999	44.90125858	2.668853245	-24.7175756	0.537616484	28.22046093	0.272323373	-0.032753606	0.004625246	0.025736245	0.008958936	-43.6292017	1.683264676
0.052399999	43.13529804	2.68938133	-24.92664977	0.479377083	28.39464113	0.261849711	-0.034259819	0.004642246	0.024361448	0.008753341	-44.36139125	1.231947739
0.052799999	41.36082571	2.677988293	-25.0596266	0.466379502	28.56182211	0.251365479	-0.035927823	0.003977825	0.022762427	0.008677519	-44.48785909	1.423191655
0.053199999	39.58117089	2.688863412	-24.99353484	0.424108273	28.72199788	0.240887789	-0.037517079	0.004163296	0.02107593	0.009039582	-44.13500677	1.282573206
0.053599999	37.80250654	2.668140576	-25.02028503	0.448767151	28.87516845	0.230432659	-0.03858569	0.004032554	0.019847808	0.008580322	-44.38668554	1.248814594
0.053999999	36.02614474	2.66854007	-25.09928341	0.426992069	29.02134503	0.220016094	-0.039887949	0.003775359	0.018229696	0.008669576	-44.56101406	1.242178574
0.054399999	34.22980664	2.635099265	-25.03007485	0.445237829	29.16055343	0.209651093	-0.04099976	0.004040555	0.016665671	0.008865694	-44.19123997	1.182432023
0.054799999	32.45424405	2.633153568	-24.82634529	0.467131505	29.29282207	0.199359777	-0.041735362	0.003791866	0.015209244	0.008798089	-43.58730092	1.301886942
0.055199999	30.68478008	2.61817106	-24.66752116	0.489459292	29.41819471	0.189153831	-0.042223695	0.003685544	0.013854578	0.008820422	-43.30338287	1.238309404
0.055599999	28.94201185	2.612247531	-24.52125575	0.453419993	29.53672559	0.17905308	-0.042735887	0.003565597	0.012288614	0.008960091	-42.90591072	1.163175673
0.055999999	27.18843325	2.591536958	-24.28036555	0.505851491	29.64848537	0.169071032	-0.042995701	0.003235877	0.010788239	0.009045017	-42.22124541	1.343300709
0.056399999	25.47049612	2.560649723	-23.93301919	0.581075256	29.75354513	0.159230462	-0.042983504	0.002953527	0.009297524	0.00868128	-41.2533039	1.512286099
0.056799999	23.77229354	2.523078071	-23.52500751	0.633995444	29.85199498	0.14954536	-0.042361603	0.002615741	0.008213447	0.008390744	-40.25537536	1.602839929
0.057199999	22.12047887	2.475422699	-23.14019345	0.676583781	29.94393704	0.140036138	-0.042044195	0.002595141	0.00668928	0.008369934	-39.36919037	1.687785732
0.057599999	20.49216764	2.431377103	-22.7615426	0.71853859	30.02948312	0.13072198	-0.041171783	0.002842887	0.00555619	0.008254023	-38.4596613	1.797508276
0.057999999	18.89408534	2.368030808	-22.3598334	0.802037054	30.10875889	0.121618564	-0.040404348	0.002913807	0.004216035	0.008402121	-37.46524448	2.036417983
0.058399999	17.32071553	2.315299049	-21.89690324	0.880056247	30.1819001	0.112746676	-0.039585143	0.003113607	0.002690738	0.008307668	-36.28075342	2.185092593
0.058799999	15.77826044	2.236170806	-21.35172496	0.981929598	30.24906121	0.104126841	-0.038142495	0.003222634	0.001609039	0.008372284	-34.90454094	2.397969998
0.059199999	14.28956264	2.16545289	-20.71180605	1.12763034	30.31040192	0.095779797	-0.036525794	0.003533785	0.000440642	0.008388354	-33.34553838	2.526166414
0.059599998	12.85096392	2.068322719	-20.02119373	1.264013138	30.36609837	0.087726021	-0.0348457	0.003970628	-0.000781756	0.008496103	-31.71756468	2.652414708
0.059999998	11.48458733	1.984197461	-19.3028993	1.392317932	30.41634354	0.079980917	-0.032912244	0.004243859	-0.001893754	0.008391815	-30.09953428	2.719426772
0.060399998	10.16935352	1.878318966	-18.45559244	1.555636609	30.46133752	0.072573315	-0.03075157	0.004505521	-0.002790441	0.008217128	-28.47192697	2.805936594
0.060799998	8.928430389	1.779943153	-17.5356076	1.703297619	30.50130208	0.065517359	-0.028490899	0.004834745	-0.003632047	0.008051718	-26.83808173	2.840810667
