%	1-10788-38173-M-16.06.2015_P10					
%	"""Nm"" "	mm				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0.067199998	4.197043419	-0.156996056	30.69725037	0.005824208	-0.001182556	7.874448299
0.067599998	5.884616375	0.159718737	30.69917679	0.008726646	-3.30806E-05	10.57511711
0.067999998	7.574266434	0.580581069	30.70257187	0.011133577	0.000774264	13.22415543
0.068399998	9.21680069	1.105972171	30.707798	0.014415188	0.002579391	15.75524139
0.068799998	10.81093311	1.733789325	30.71525574	0.016994826	0.003891885	18.20963097
0.069199998	12.32430553	2.462538481	30.72530746	0.018256598	0.0040856	20.53766441
0.069599998	13.67484379	3.283538342	30.73829651	0.020499136	0.005548298	22.52017784
0.069999998	14.91558933	4.189403534	30.75454712	0.02209767	0.006646812	24.41078949
0.070399998	16.01139641	5.168527603	30.77436447	0.023365756	0.00770539	26.00613785
0.070799998	17.02403641	6.21458149	30.79807281	0.024602278	0.008969009	27.5165081
0.071199998	17.92288589	7.311565876	30.8259201	0.025113523	0.009720623	28.87042046
0.071599998	18.66165352	8.465465546	30.85819244	0.025167549	0.010143518	29.83244324
0.071999998	19.31848717	9.666822433	30.89515686	0.025018691	0.010432601	31.34915924
0.072399998	19.80236816	10.93413544	30.93704224	0.025882286	0.01180172	32.39051819
0.072799998	20.23050308	12.24621201	30.98405838	0.026030811	0.012541413	33.38445282
0.073199998	20.6864624	13.6045723	31.03643417	0.027628059	0.014784336	34.52011108
0.073599998	21.20845795	14.99145317	31.09437943	0.027942148	0.015713274	35.86462784
0.073999998	21.82581329	16.41697884	31.15804672	0.029109868	0.017415881	37.43268967
0.074399998	22.53012466	17.87381172	31.22760773	0.03032513	0.019029975	39.23772812
0.074799998	23.06305504	19.38261414	31.30325317	0.03369859	0.022728145	40.19290543
0.075199998	23.57025528	20.93890762	31.3850975	0.03449169	0.023798943	41.43238449
0.075599998	23.71708298	22.55926514	31.4732933	0.035766438	0.025438368	41.3184433
0.075999998	23.90247726	24.23054123	31.56793594	0.038618604	0.028830171	41.91136932
0.076399998	24.32473564	25.92539024	31.66915894	0.038272552	0.029262602	43.22041702
0.076799998	24.81151962	27.62985802	31.77703857	0.040682596	0.032592416	44.32335663
0.077199998	25.0154686	29.3554306	31.89165115	0.0410499	0.034000576	44.45458984
0.077599998	24.83622742	31.10945129	32.01311111	0.04139862	0.035533607	43.5521431
0.077999998	24.81464195	32.86901855	32.14141846	0.04276643	0.038331449	43.94381714
0.078399998	25.24822807	34.62654495	32.27666855	0.044226004	0.041289926	45.42684174
0.078799998	25.51057625	36.37041473	32.41888046	0.045815436	0.044417083	45.56797409
0.079199998	25.11691284	38.13187408	32.56809235	0.047562402	0.047687888	43.89009094
0.079599998	25.06878281	39.87810516	32.72432327	0.047531165	0.049227476	44.68344116
0.079999998	25.74757385	41.63274384	32.88755417	0.048658224	0.051873624	46.84922791
0.080399998	25.65824318	43.41262054	33.05780411	0.048987512	0.053788424	45.30030823
0.080799998	25.18696594	45.21102142	33.23505402	0.049482072	0.056074858	44.401474
0.081199998	25.57323456	46.99051666	33.41928482	0.051097209	0.059630871	46.1655159
0.081599998	25.34245682	48.79869461	33.61045837	0.052822828	0.063544512	44.43734741
0.081999998	24.95018578	50.59505081	33.8085556	0.053642066	0.066897869	43.96634293
0.082399998	25.19998741	52.33584595	34.01350021	0.050575286	0.066543221	44.90579987
0.082799998	24.49452591	54.0821228	34.22523499	0.051376019	0.070197582	41.87897491
0.083199998	24.27312088	55.7629776	34.4437027	0.051093521	0.072879791	42.67139816
0.083599998	24.19254875	57.46483612	34.66882706	0.050629629	0.075420141	41.81971741
0.083999998	23.62330246	59.14006042	34.9005127	0.049899444	0.077942312	40.55982208
0.084399998	23.68191528	60.78605652	35.13868332	0.048812535	0.080166757	41.08275223
0.084799998	23.03557396	62.40026093	35.38322449	0.049222307	0.084100366	38.79843521
0.085199998	22.97906113	63.96550751	35.63405991	0.047116168	0.085514784	39.39504242
0.085599998	22.2597847	65.5426178	35.89103699	0.045309197	0.08734107	36.7627449
0.085999998	22.18460274	66.99819946	36.15406036	0.042704185	0.088382065	37.63323212
0.086399998	21.58393097	68.49253082	36.42299652	0.042103641	0.091310441	35.1812706
0.086799998	21.37905884	69.90565491	36.69769287	0.039466228	0.092207491	35.49884033
0.087199998	20.80340767	71.32738495	36.97803497	0.035628946	0.092022717	33.5042572
0.087599998	20.65544128	72.66752625	37.26387024	0.035326676	0.09521544	33.73437881
0.087999998	19.87953186	73.99043274	37.55502701	0.033525247	0.09700954	31.12473679
0.088399998	19.65977478	75.21842957	37.85137177	0.031042686	0.097798407	31.0473671
0.088799998	19.19418526	76.45109558	38.15273285	0.026738346	0.096902549	30.06986618
0.089199998	18.81845093	77.6341095	38.4589386	0.026302626	0.099471137	28.90580368
0.089599998	18.02518463	78.73459625	38.76981735	0.024678819	0.101147518	27.93147659
0.089999998	17.22186661	79.8709259	39.08519745	0.020711552	0.099916533	26.34899521
0.090399998	16.81404305	80.83573914	39.40486908	0.020076577	0.102327317	26.08377266
0.090799998	15.93426323	81.88078308	39.72866058	0.018680301	0.103461891	24.3674736
0.091199998	15.34883499	82.76472473	40.0564003	0.015353654	0.102760494	23.51882362
0.091599998	14.67789173	83.71679688	40.38785934	0.015760567	0.105605721	22.71989059
0.091999998	13.89069176	84.50637817	40.72284698	0.013841819	0.10599792	21.0386219
0.092399998	13.28373814	85.31256104	41.06117249	0.011347532	0.105758607	20.41929054
0.092799998	12.49383068	86.05885315	41.40262604	0.011000838	0.107395351	19.16965866
0.093199998	11.7993269	86.73851013	41.74699783	0.010639075	0.109112859	17.82091141
0.093599998	11.06950951	87.34812927	42.09405899	0.007120632	0.107330382	17.00025558
0.093999998	10.5211792	87.95571899	42.44361877	0.006089695	0.108032823	16.31148911
0.094399998	9.486068726	88.46636963	42.7954483	0.006352291	0.109850168	14.07395554
0.094799998	8.803261757	88.88973999	43.1493187	0.002805758	0.107749701	13.42183781
0.095199998	7.958658218	89.31488037	43.50502014	0.004018508	0.110021234	11.81131363
0.095599998	7.388484478	89.65335083	43.86232376	0.0029305	0.1101017	11.12170315
0.095999998	6.595713139	89.95184326	44.22101974	0.00224717	0.110270381	9.782562256
0.096399998	5.736109734	90.200737	44.58086014	0.002718698	0.111476183	8.323866844
0.096799998	5.112455368	90.40959167	44.94163513	-0.000765007	0.10874331	7.568740368
0.097199998	4.227158546	90.53876495	45.30311584	0.001333524	0.111485422	5.977361679
0.097599998	3.402941465	90.61073303	45.66505432	-3.76254E-06	0.110618472	4.373549461
0.097999998	2.618747711	90.62563324	46.02724075	-0.002075955	0.108954608	3.665851593
0.098399998	2.04790616	90.58982849	46.38944626	-0.00120664	0.110129118	2.856096029
0.098799998	1.082486272	90.50180054	46.75142288	-0.000554826	0.110885501	1.052843332
0.099199997	0.33367461	90.37283325	47.11296082	-0.003280044	0.108335614	-0.115393162
0.099599997	-0.549772143	90.1605835	47.4738121	-0.00082057	0.110875964	-1.546446562
0.099999997	-1.447484255	89.89138031	47.83376694	-0.002195127	0.10944128	-2.9863379
0.100399997	-2.011992455	89.59967041	48.19259644	-0.002747942	0.108813699	-3.513842106
0.100799997	-2.895231724	89.24611664	48.55005264	-0.002704989	0.108836703	-5.271529198
0.101199997	-3.940279245	88.81928253	48.90594482	-0.004244503	0.10714218	-6.885036945
0.101599997	-4.721634865	88.35249329	49.26000595	-0.002707113	0.108567402	-8.057147026
0.101999997	-5.547777653	87.80332947	49.61206436	-0.003197342	0.107893348	-9.32177639
0.102399997	-6.402695179	87.19769287	49.9618721	-0.005935021	0.104791224	-10.76401997
0.102799997	-7.157816887	86.57707977	50.30920029	-0.003325194	0.107028037	-11.8405447
0.103199997	-8.120140076	85.87617493	50.65385818	-0.004372206	0.105637014	-13.4388237
0.103599997	-8.946296692	85.11753082	50.99561691	-0.006358605	0.103181005	-14.94438648
0.103999997	-9.95539856	84.29590607	51.33428574	-0.004611854	0.104347467	-16.27532196
0.104399997	-10.67375183	83.44844818	51.66963577	-0.006174371	0.102142692	-17.20654297
0.104799997	-11.02626705	82.55757141	52.00147629	-0.006366875	0.101231933	-17.76012421
0.105199997	-12.33858681	81.59706116	52.32959747	-0.004412737	0.102554858	-20.2834816
0.105599997	-13.17551517	80.61862183	52.65380859	-0.006367937	0.099801719	-21.46340752
0.105999997	-13.77795315	79.54167175	52.97393799	-0.007541459	0.097878575	-21.96449471
0.106399997	-14.70093822	78.44150543	53.28975677	-0.005192012	0.099349022	-23.96623993
0.106799997	-14.96915913	77.33501434	53.60111237	-0.007316694	0.096237659	-23.65001106
0.107199997	-16.03282547	76.18641663	53.90781403	-0.00823454	0.094659925	-26.04268456
0.107599997	-16.5440979	74.98812866	54.20967102	-0.008120062	0.094060898	-26.51780891
0.107999997	-17.88045502	73.70918274	54.50654984	-0.007143961	0.094406605	-28.99113083
0.108399997	-18.44870186	72.45518494	54.79825974	-0.008398928	0.092407763	-29.52919388
0.108799997	-18.70372009	71.12124634	55.08466721	-0.011067502	0.089320838	-29.19959641
0.109199997	-18.97098732	69.83334351	55.36558151	-0.011396939	0.088631213	-30.61627197
0.109599997	-20.04927635	68.41736603	55.64088821	-0.012464132	0.087467134	-33.44433212
0.109999997	-20.42459488	67.02825928	55.91041565	-0.015387218	0.084525943	-33.97363281
0.110399997	-21.10326004	65.50982666	56.17406845	-0.016394025	0.083551109	-35.25650406
0.110799997	-21.27993011	64.04734802	56.43167496	-0.017566718	0.082412958	-35.86161041
0.111199997	-21.87568474	62.46542358	56.6831398	-0.019026911	0.080983639	-37.19004822
0.111599997	-21.60716629	60.97340393	56.92834854	-0.022841906	0.077319145	-35.98552704
0.111999997	-22.6622715	59.38819122	57.16718674	-0.024236329	0.076251924	-40.14556122
0.112399997	-22.89847374	57.78679276	57.39955902	-0.02624034	0.074774325	-39.05069733
0.112799997	-23.34728432	56.13046265	57.62537003	-0.028946418	0.07237196	-41.33002472
0.113199997	-23.96410561	54.40973282	57.84454346	-0.032438487	0.06924659	-42.04096985
0.113599997	-23.86400223	52.72208023	58.05698395	-0.034840405	0.06685704	-41.60741806
0.113999997	-24.55802345	51.00793839	58.26263428	-0.035243761	0.066659804	-44.06304169
0.114399997	-24.17815971	49.28720856	58.46143723	-0.038591046	0.063273795	-41.46092606
0.114799997	-24.14697456	47.57369995	58.65333557	-0.042980164	0.059049949	-42.64429092
0.115199997	-25.2037735	45.86598587	58.83829117	-0.045523467	0.056745484	-45.97724533
0.115599997	-25.26000786	44.02508545	59.01626587	-0.051136771	0.051189288	-44.52986908
0.115999997	-25.18641472	42.24457932	59.18725967	-0.052031036	0.050066411	-44.94675446
0.116399997	-25.71095085	40.41267776	59.35121536	-0.057009365	0.044597834	-46.62833023
0.116799997	-25.68003082	38.56438446	59.50817108	-0.060216398	0.040629059	-45.50781631
0.117199997	-25.28120422	36.72231674	59.65810776	-0.063599655	0.035982877	-44.53708267
0.117599997	-25.30085945	34.92870331	59.80104446	-0.067142732	0.030959398	-45.1415863
0.117999997	-25.48940849	33.13331223	59.93701935	-0.069842557	0.026623905	-45.58255005
0.118399997	-25.24964523	31.32581329	60.06605148	-0.073614973	0.020947009	-44.41221619
0.118799997	-24.80963326	29.55492401	60.18821716	-0.072552674	0.019755661	-43.33170319
0.119199997	-24.60936356	27.81136894	60.30355453	-0.072455532	0.01751855	-43.14708328
0.119599997	-24.51978874	26.10787582	60.41212082	-0.07129983	0.016184598	-43.01694107
0.119999997	-24.40153313	24.37408829	60.51403046	-0.070956643	0.013892353	-42.63768387
0.120399997	-24.04841423	22.62498093	60.60935974	-0.069378498	0.012423694	-41.45989227
0.120799997	-23.40359497	20.88679504	60.69820404	-0.066460203	0.011715293	-39.62097931
0.121199997	-22.61685562	19.23072815	60.78071594	-0.065012597	0.0091362	-37.62715149
0.121599997	-21.89650345	17.64879417	60.85699081	-0.06295247	0.006987154	-35.99307632
0.121999997	-21.34729958	16.13918877	60.92720032	-0.059159691	0.006578863	-34.8810463
0.122399997	-20.77986526	14.67314625	60.99145889	-0.055431733	0.00613898	-33.57578659
0.122799997	-20.21308327	13.23866844	61.04999542	-0.053552096	0.003862679	-32.11476517
0.123199997	-19.62625885	11.84087944	61.10294342	-0.050409054	0.002782941	-30.74427223
0.123599997	-18.99463081	10.48366737	61.1505127	-0.046782969	0.002064705	-29.14346886
0.123999997	-17.93354416	9.185064316	61.19291306	-0.042464123	0.001944005	-27.27511024
0.124399997	-16.70472908	7.94715929	61.23037338	-0.03820579	0.001686513	-25.26817322
0.124799997	-15.42434788	6.793010235	61.26312256	-0.034746169	0.000600517	-23.222929
0.125199997	-14.1283493	5.726632595	61.29142761	-0.03085671	6.04987E-05	-21.19989014
