% Steigung p=10 	Trace: 	1-10788-38139-L-26.05.2015-P10
Zeit	Istpositionmm	StromstaerkeA
2.859999803	51.51119232	-0.891516268
2.860999803	51.42719269	-0.858803928
2.861999803	51.37119293	-0.782572091
2.862999803	51.2871933	-0.904008865
2.863999803	51.23119354	-0.916663706
2.864999803	51.14719391	-0.872657359
2.865999802	51.09119415	-0.867877126
2.866999802	51.00719452	-0.913949668
2.867999802	50.95119476	-0.900627434
2.868999802	50.86719513	-0.742690146
2.869999802	50.81119537	-0.909271181
2.870999802	50.72719574	-0.757472873
2.871999802	50.67119598	-0.608822227
2.872999802	50.58717728	-0.545466423
2.873999802	50.53117752	-0.566280842
2.874999802	50.44717789	-0.375645757
2.875999802	50.39117813	-0.388206124
2.876999802	50.3071785	-0.564293504
2.877999802	50.25117874	-0.611181438
2.878999802	50.16717911	-0.619135559
2.879999802	50.11117935	-0.743128181
2.880999801	50.02717972	-0.833188772
2.881999801	49.97117996	-0.648210049
2.882999801	49.88718033	-0.715370655
2.883999801	49.83118057	-0.77579844
2.884999801	49.74718094	-0.758594632
2.885999801	49.69118118	-0.608070612
2.886999801	49.60718155	-0.565767944
2.887999801	49.55118179	-0.801302433
2.888999801	49.46718216	-0.767070949
2.889999801	49.4111824	-0.654859841
2.890999801	49.32718277	-0.960099518
2.891999801	49.27118301	-1.012210727
2.892999801	49.18718338	-0.991541564
2.893999801	49.13118362	-1.013980627
2.8949998	49.04718399	-1.088622332
2.8959998	48.99118423	-1.100127101
2.8969998	48.9071846	-0.985497117
2.8979998	48.85118484	-0.733583689
2.8989998	48.76718521	-0.66987431
2.8999998	48.71118546	-0.641594052
2.9009998	48.62718582	-0.565796435
2.9019998	48.57118607	-0.707769096
2.9029998	48.48718643	-0.857378185
2.9039998	48.43118668	-0.979546547
2.9049998	48.34718704	-1.003733397
2.9059998	48.29118729	-0.930999398
2.9069998	48.20718765	-0.929572582
2.9079998	48.1511879	-0.876870096
2.9089998	48.06718826	-0.994562864
2.909999799	48.01118851	-1.021290302
2.910999799	47.92718887	-0.845803976
2.911999799	47.87118912	-0.832123518
2.912999799	47.78718948	-0.767975509
2.913999799	47.73118973	-0.620988667
2.914999799	47.64719009	-0.636119246
2.915999799	47.59119034	-0.837116718
2.916999799	47.5071907	-0.999094844
2.917999799	47.45119095	-0.851866364
2.918999799	47.36719131	-0.656461716
2.919999799	47.31119156	-0.750995398
2.920999799	47.22719193	-0.666738033
2.921999799	47.17119217	-0.455822676
2.922999799	47.08719254	-0.531102955
2.923999798	47.03119278	-0.7274459
2.924999798	46.94719315	-0.551184952
2.925999798	46.89119339	-0.513158441
2.926999798	46.80719376	-0.577251017
2.927999798	46.751194	-0.641032457
2.928999798	46.66719437	-0.469082534
2.929999798	46.61119461	-0.558241606
2.930999798	46.52719498	-0.6927073
2.931999798	46.47119522	-0.668985307
2.932999798	46.38719559	-0.653880954
