%Seriennummer:	38207						
%Standardabweichung	0.126951651	0.038623982	0.022925159	0.156966364	1.04340932	1.285099895	1.52468485
%Mittelwert	0.803429949	0.852430369	0.931007972	0.76483879	22.78458695	22.90280642	23.24585232
Punkte:	StromLauf1	StromLauf2	StromLauf3	StromLauf4	Temperatursensor1	Temperatursensor2	Temperatursensor3
-81	0.7980838	0.8846229	0.9423158	0.2980795	21.63195	21.63195	21.63195
-80	0.8076992	0.8750075	0.9615467	0.8173147	21.63195	21.4314	21.73223
-79	0.8269302	0.8557765	0.9230848	0.8461611	21.63195	21.4314	21.73223
-78	0.7884683	0.8269302	0.9327003	0.8173147	21.63195	21.53168	21.73223
-77	0.5384662	0.8365456	0.8846229	0.3557723	21.63195	21.63195	21.73223
-76	0.8750075	0.8750075	0.9230848	0.8461611	21.73223	21.8325	21.73223
-75	0.8269302	0.8750075	0.9134694	0.7980838	21.8325	21.8325	21.8325
-74	0.8173147	0.8365456	0.9423158	0.8269302	21.73223	21.53168	21.93278
-73	0.7788528	0.9038539	0.9230848	0.7980838	21.73223	21.53168	21.8325
-72	0.7692373	0.8942384	1.000009	0.8173147	21.73223	21.53168	21.93278
-71	0.8269302	0.8269302	0.9519312	0.8173147	21.63195	21.63195	21.8325
-70	0.3173104	0.8461611	0.9423158	0.8846229	21.73223	21.73223	21.8325
-69	0.8173147	0.8942384	0.8846229	0.3365414	21.8325	21.8325	21.93278
-68	0.8365456	0.9134694	0.9327003	0.8269302	21.93278	21.73223	21.93278
-67	0.7980838	0.8365456	0.9519312	0.8461611	21.8325	21.53168	22.03305
-66	0.8173147	0.8750075	0.9423158	0.8269302	21.73223	21.53168	21.93278
-65	0.7884683	0.9519312	0.9134694	0.865392	21.73223	21.63195	21.93278
-64	0.7692373	0.9038539	0.9327003	0.4423115	21.8325	21.8325	21.93278
-63	0.8269302	0.8557765	0.9327003	0.7788528	22.13333	22.13333	22.03305
-62	0.7980838	0.8461611	1.009624	0.7884683	22.2336	22.2336	22.13333
-61	0.8173147	0.9230848	0.9423158	0.7884683	22.43415	22.2336	22.2336
-60	0.8461611	0.8846229	0.9038539	0.7980838	22.43415	22.2336	22.43415
-59	0.9038539	0.8461611	0.9327003	0.8076992	22.53443	22.43415	22.53443
-58	0.3846187	0.7980838	0.8942384	0.8365456	22.73498	22.6347	22.6347
-57	0.7884683	0.8173147	0.9423158	0.8557765	22.93553	22.83525	22.73498
-56	0.8365456	0.8461611	0.9615467	0.8846229	22.93553	22.83525	22.93553
-55	0.8557765	0.8557765	0.9423158	0.8461611	22.93553	22.73498	22.93553
-54	0.8846229	0.7980838	0.9230848	0.7884683	22.93553	22.73498	23.0358
-53	0.740391	0.8461611	0.9230848	0.7980838	23.0358	22.93553	23.0358
-52	0.8076992	0.865392	0.9519312	0.8076992	23.13608	22.93553	23.13608
-51	0.8173147	0.8269302	0.9230848	0.7692373	23.23635	23.0358	23.23635
-50	0.8365456	0.8269302	0.9327003	0.7980838	23.23635	22.93553	23.33663
-49	0.7692373	0.8461611	0.9519312	0.3750032	23.13608	22.93553	23.33663
-48	0.7884683	0.8076992	0.9519312	0.7596219	23.0358	22.93553	23.33663
-47	0.8461611	0.8365456	0.9327003	0.8076992	23.0358	22.93553	23.33663
-46	0.740391	0.8557765	0.9423158	0.8750075	23.13608	23.13608	23.4369
-45	0.5000043	0.8942384	0.9134694	0.7980838	23.23635	23.13608	23.4369
-44	0.7692373	0.8942384	0.9519312	0.4230805	23.23635	22.93553	23.53718
-43	0.8461611	0.8076992	0.9230848	0.8269302	23.13608	22.93553	23.53718
-42	0.740391	0.8076992	0.9038539	0.8461611	23.0358	22.93553	23.4369
-41	0.8269302	0.8750075	0.9423158	0.3557723	23.13608	23.13608	23.53718
-40	0.7692373	0.8846229	0.9423158	0.8173147	23.23635	23.23635	23.4369
-39	0.8173147	0.8461611	0.9038539	0.7980838	23.33663	23.13608	23.53718
-38	0.8076992	0.8365456	0.9423158	0.8269302	23.13608	22.93553	23.53718
-37	0.5096198	0.865392	0.9038539	0.8173147	23.0358	22.93553	23.63745
-36	0.8365456	0.8461611	0.9711621	0.4134651	23.0358	23.0358	23.53718
-35	0.8461611	0.8750075	0.9519312	0.7596219	23.23635	23.13608	23.53718
-34	0.8076992	0.8365456	0.8942384	0.8269302	23.4369	23.4369	23.53718
-33	0.8173147	0.9230848	0.9134694	0.72116	23.63745	23.53718	23.63745
-32	0.7980838	0.9134694	0.9230848	0.7980838	23.63745	23.53718	23.73773
-31	0.865392	0.8365456	0.9038539	0.7596219	23.838	23.63745	23.93828
-30	0.8076992	0.8461611	0.9134694	0.865392	23.73773	23.93828	24.13883
-29	0.7788528	0.8846229	0.9038539	0.7596219	23.838	24.13883	24.2391
-28	0.8076992	0.9038539	0.9519312	0.4230805	23.838	24.2391	24.43965
-27	0.8269302	0.865392	0.9134694	0.7500064	23.838	24.13883	24.6402
-26	0.2788485	0.865392	0.9038539	0.8461611	23.73773	24.2391	24.74048
-25	0.8076992	0.865392	0.9230848	0.8076992	23.838	24.43965	24.84075
-24	0.8076992	0.8750075	0.9038539	0.8076992	24.03855	24.53993	24.94103
