Zeit1	Lauf1Units	Lauf1mm	Zeit2	Lauf2Units	Lauf2mm	Zeit3	Lauf3Units	Lauf3mm
0.21119999	1225464	23.37387085	0.140799996	1109534	21.16268158	0.140799996	1529160	29.16641235
0.212399989	1235950	23.57387543	0.141599996	1123515	21.42934799	0.141599996	1550131	29.56640244
0.213599989	1246436	23.77388	0.142399996	1137496	21.6960144	0.142399996	1571103	29.96641159
0.214799989	1256922	23.97388458	0.143199996	1151477	21.96268082	0.143199996	1592074	30.36640167
0.215999989	1267407	24.17387009	0.143999996	1165458	22.22934723	0.143999996	1613046	30.76641083
0.217199989	1277893	24.37387466	0.144799996	1179439	22.49601364	0.144799996	1634017	31.16640091
0.218399989	1288379	24.57387924	0.145599996	1193420	22.76268005	0.145599996	1654989	31.56641006
0.219599989	1298865	24.77388382	0.146399996	1207401	23.02934647	0.146399996	1675960	31.96640015
0.220799989	1309350	24.97386932	0.147199996	1221382	23.29601288	0.147199996	1696932	32.3664093
0.221999989	1319836	25.1738739	0.147999996	1235363	23.56267929	0.147999996	1717903	32.76639938
0.223199989	1330322	25.37387848	0.148799996	1249344	23.8293457	0.148799996	1738875	33.16640854
0.224399989	1340808	25.57388306	0.149599996	1263325	24.09601212	0.149599996	1759847	33.56641769
0.225599989	1351293	25.77386856	0.150399996	1277306	24.36267853	0.150399996	1780818	33.96640778
0.226799989	1361779	25.97387314	0.151199996	1291287	24.62934494	0.151199996	1801790	34.36641693
0.227999989	1372265	26.17387772	0.151999996	1305268	24.89601135	0.151999996	1822761	34.76640701
0.229199989	1382751	26.37388229	0.152799996	1319249	25.16267776	0.152799996	1843733	35.16641617
0.230399989	1393236	26.5738678	0.153599996	1333230	25.42934418	0.153599996	1864704	35.56640625
0.231599989	1403722	26.77387238	0.154399996	1347211	25.69601059	0.154399996	1885676	35.96641541
0.232799988	1414208	26.97387695	0.155199996	1361192	25.962677	0.155199996	1906647	36.36640549
0.233999988	1424694	27.17388153	0.155999996	1375173	26.22934341	0.155999996	1927619	36.76641464
0.235199988	1435179	27.37386703	0.156799996	1389154	26.49600983	0.156799996	1948590	37.16640472
0.236399988	1445665	27.57387161	0.157599996	1403135	26.76267624	0.157599996	1969562	37.56641388
0.237599988	1456151	27.77387619	0.158399996	1417116	27.02934265	0.158399996	1990533	37.96640396
0.238799988	1466637	27.97388077	0.159199996	1431097	27.29600906	0.159199996	2011505	38.36641312
0.239999988	1477122	28.17386627	0.159999996	1445078	27.56267548	0.159999996	2032476	38.7664032
0.241199988	1487608	28.37387085	0.160799996	1459059	27.82934189	0.160799996	2053448	39.16641235
0.242399988	1498094	28.57387543	0.161599996	1473040	28.0960083	0.161599996	2074419	39.56640244
0.243599988	1508580	28.77388	0.162399996	1487021	28.36267471	0.162399996	2095391	39.96641159
0.244799988	1519065	28.97386551	0.163199996	1501002	28.62934113	0.163199996	2116362	40.36640167
0.245999988	1529551	29.17387009	0.163999996	1514983	28.89600754	0.163999996	2137334	40.76641083
0.247199988	1540037	29.37387466	0.164799996	1528964	29.16267395	0.164799996	2158305	41.16640091
0.248399988	1550523	29.57387924	0.165599996	1542945	29.42934036	0.165599996	2179277	41.56641006
0.249599988	1561009	29.77388382	0.166399996	1556926	29.69600677	0.166399996	2200248	41.96640015
0.250799988	1571494	29.97386932	0.167199996	1570907	29.96267319	0.167199996	2221220	42.3664093
0.251999988	1581980	30.1738739	0.167999996	1584888	30.2293396	0.167999996	2242191	42.76639938
0.253199987	1592466	30.37387848	0.168799996	1598869	30.49600601	0.168799996	2263163	43.16640854
0.254399987	1602952	30.57388306	0.169599996	1612850	30.76267242	0.169599996	2284135	43.56641769
0.255599987	1613437	30.77386856	0.170399996	1626831	31.02933884	0.170399996	2305106	43.96640778
0.256799987	1623923	30.97387314	0.171199996	1640812	31.29600525	0.171199996	2326078	44.36641693
0.257999987	1634409	31.17387772	0.171999996	1654793	31.56267166	0.171999996	2347049	44.76640701
0.259199987	1644895	31.37388229	0.172799996	1668774	31.82933807	0.172799996	2368021	45.16641617
0.260399987	1655380	31.5738678	0.173599996	1682755	32.09600449	0.173599996	2388992	45.56640625
0.261599987	1665866	31.77387238	0.174399996	1696736	32.3626709	0.174399996	2409964	45.96641541
0.262799987	1676352	31.97387695	0.175199996	1710717	32.62933731	0.175199996	2430935	46.36640549
0.263999987	1686838	32.17388153	0.175999996	1724698	32.89600372	0.175999996	2451907	46.76641464
0.265199987	1697323	32.37386703	0.176799996	1738679	33.16267014	0.176799996	2472878	47.16640472
0.266399987	1707809	32.57387161	0.177599996	1752660	33.42933655	0.177599996	2493850	47.56641388
0.267599987	1718295	32.77387619	0.178399995	1766641	33.69600296	0.178399995	2514821	47.96640396
0.268799987	1728781	32.97388077	0.179199995	1780622	33.96266937	0.179199995	2535793	48.36641312
0.269999987	1739266	33.17386627	0.179999995	1794603	34.22933578	0.179999995	2556764	48.7664032
0.271199987	1749752	33.37387085	0.180799995	1808584	34.4960022	0.180799995	2577736	49.16641235
0.272399987	1760238	33.57387543	0.181599995	1822565	34.76266861	0.181599995	2598707	49.56640244
0.273599986	1770724	33.77388	0.182399995	1836546	35.02933502	0.182399995	2619679	49.96641159
0.274799986	1781209	33.97386551	0.183199995	1850527	35.29600143	0.183199995	2640650	50.36640167
0.275999986	1791695	34.17387009	0.183999995	1864508	35.56266785	0.183999995	2661622	50.76641083
0.277199986	1802181	34.37387466	0.184799995	1878489	35.82933426	0.184799995	2682593	51.16640091
0.278399986	1812667	34.57387924	0.185599995	1892470	36.09600067	0.185599995	2703565	51.56641006
0.279599986	1823153	34.77388382	0.186399995	1906451	36.36266708	0.186399995	2724536	51.96640015
0.280799986	1833638	34.97386932	0.187199995	1920432	36.6293335	0.187199995	2745508	52.3664093
0.281999986	1844124	35.1738739	0.187999995	1934413	36.89599991	0.187999995	2766479	52.76639938
0.283199986	1854610	35.37387848	0.188799995	1948394	37.16266632	0.188799995	2787451	53.16640854
0.284399986	1865096	35.57388306	0.189599995	1962375	37.42933273	0.189599995	2808422	53.56639862
0.285599986	1875581	35.77386856	0.190399995	1976356	37.69599915	0.190399995	2829394	53.96640778
0.286799986	1886067	35.97387314	0.191199995	1990337	37.96266556	0.191199995	2850366	54.36641693
0.287999986	1896553	36.17387772	0.191999995	2004318	38.22933197	0.191999995	2871337	54.76640701
0.289199986	1907039	36.37388229	0.192799995	2018299	38.49599838	0.192799995	2892309	55.16641617
