% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Lag error. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=112:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set speed. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units/s"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=114:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set position. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=113:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
Zeit	Lag_Error	Set_speed	Set_position
0.315999978	-0.000191391	199.9999809	61.28831863
0.317999978	-0.000699069	199.9999809	61.68832779
0.319999978	0.000165552	199.9999809	62.08831787
0.321999978	0.000714865	199.9999809	62.48832703
0.323999978	0.00045117	199.9999809	62.88831711
0.325999978	-0.001353305	199.9999809	63.28832626
0.327999977	0.000809506	199.9999809	63.68831635
0.329999977	-0.001463462	199.9999809	64.0883255
0.331999977	0.001027174	199.9999809	64.48833466
0.333999977	0.000739042	199.9999809	64.88832474
0.335999977	-0.002025068	199.9999809	65.28833389
0.337999977	0.000250395	199.9999809	65.68832397
0.339999977	-0.000921674	199.9999809	66.08833313
0.341999976	0.000873078	199.9999809	66.48832321
0.343999976	-0.000494197	199.9999809	66.88833237
0.345999976	-0.00098737	199.9999809	67.28832245
0.347999976	-0.001314841	199.9999809	67.6883316
0.349999976	-0.000719037	199.9999809	68.08832169
0.351999976	0.000294	199.9999809	68.48833084
0.353999976	-0.000887606	199.9999809	68.88832092
0.355999975	-0.000179596	199.9999809	69.28833008
0.357999975	-0.000345688	199.9999809	69.68832016
0.359999975	0.000877455	199.9999809	70.08832932
0.361999975	0.001150798	199.9999809	70.4883194
0.363999975	0.001465678	199.9999809	70.88832855
0.365999975	0.000860165	199.9999809	71.28831863
0.367999975	-0.001212358	199.9999809	71.68832779
0.369999975	-0.000362638	199.9999809	72.08831787
0.371999974	0.001602881	199.9999809	72.48832703
0.373999974	-0.001571309	199.9999809	72.88831711
0.375999974	-0.000358	199.9999809	73.28832626
0.377999974	-0.001891274	199.9999809	73.68831635
0.379999974	-0.00042405	199.9999809	74.0883255
0.381999974	0.000491831	199.9999809	74.48831558
0.383999974	-0.001564175	199.9999809	74.88832474
0.385999973	0.000657644	199.9999809	75.28833389
0.387999973	-0.001991428	199.9999809	75.68832397
0.389999973	-0.000936668	199.9999809	76.08833313
0.391999973	-2.37674E-05	199.9999809	76.48832321
0.393999973	-0.001095701	199.9999809	76.88833237
0.395999973	0.000310726	199.9999809	77.28832245
0.397999973	-0.000995453	199.9999809	77.6883316
0.399999972	-0.000519454	199.9999809	78.08832169
0.401999972	-0.00012422	199.9999809	78.48833084
0.403999972	-0.000485517	199.9999809	78.88832092
0.405999972	-0.001230072	199.9999809	79.28833008
0.407999972	0.000827983	199.9999809	79.68832016
0.409999972	0.000635069	199.9999809	80.08832932
0.411999972	0.000688694	199.9999809	80.4883194
0.413999971	0.001128074	199.9999809	80.88832855
0.415999971	2.45124E-05	199.9999809	81.28831863
0.417999971	0.000449922	199.9999809	81.68832779
0.419999971	-0.000304915	199.9999809	82.08831787
0.421999971	-0.000321846	199.9999809	82.48832703
0.423999971	-0.00018023	199.9999809	82.88831711
0.425999971	-0.001371969	199.9999809	83.28832626
0.427999971	-0.000470988	199.9999809	83.68831635
0.42999997	-0.000651833	199.9999809	84.0883255
0.43199997	-0.001686811	199.9999809	84.48831558
0.43399997	-0.000114683	199.9999809	84.88832474
0.43599997	-0.000390299	199.9999809	85.28831482
0.43799997	-0.000653993	199.9999809	85.68832397
0.43999997	-0.002319589	199.9999809	86.08833313
0.44199997	-0.003020186	199.9999809	86.48832321
0.443999969	-0.000456534	199.9999809	86.88833237
0.445999969	0.001296196	199.9999809	87.28832245
0.447999969	-0.001425892	199.9999809	87.6883316
0.449999969	0.000873711	199.9999809	88.08832169
0.451999969	-0.002468564	199.9999809	88.48833084
0.453999969	0.000776071	199.9999809	88.88832092
0.455999969	0.002331212	199.9999809	89.28833008
0.457999968	-0.000991542	199.9999809	89.68832016
0.459999968	0.001032241	199.9999809	90.08832932
0.461999968	-0.001953598	199.9999809	90.4883194
0.463999968	0.001173764	199.9999809	90.88832855
0.465999968	0.002389546	199.9999809	91.28831863
0.467999968	0.000351481	199.9999809	91.68832779
0.469999968	0.00157671	199.9999809	92.08831787
0.471999967	-0.00266619	199.9999809	92.48832703
0.473999967	-0.000512917	199.9999809	92.88831711
0.475999967	-0.000972115	199.9999809	93.28832626
0.477999967	-0.000461545	199.9999809	93.68831635
0.479999967	-0.000281185	199.9999809	94.0883255
0.481999967	-0.001877639	199.9999809	94.48831558
0.483999967	-0.000991561	199.9999809	94.88832474
0.485999967	-0.000940543	199.9999809	95.28831482
0.487999966	-0.001565441	199.9999809	95.68832397
0.489999966	-0.001724232	199.9999809	96.08831406
0.491999966	-0.0009064	199.9999809	96.48832321
0.493999966	-0.002298113	199.9999809	96.88833237
0.495999966	0.000394583	199.9999809	97.28832245
0.497999966	-0.000784639	199.9999809	97.6883316
0.499999966	-0.001635603	199.4256401	98.08803558
0.501999965	-0.004826435	192.9642487	98.48028183
0.503999965	-0.016029843	179.323349	98.85099411
0.505999965	-0.016543744	158.5029507	99.18581009
0.507999965	-0.012294103	130.5030918	99.47034836
0.509999965	-0.011007829	95.49806595	99.69036102
0.511999965	-0.004213356	62.06203938	99.84008789
0.513999965	0.003684881	35.80551147	99.93156433
0.515999964	0.008241925	16.72846079	99.97913361
0.517999964	0.008546046	4.830904007	99.99715805
0.519999964	0.007371604	0.112832841	100
0.521999964	0.006424338	0	100
0.523999964	0.00498876	0	100
0.525999964	0.002850696	-0.145025635	99.99992371
0.527999964	-0.002182472	-5.185024738	99.99473572
0.529999963	-0.009978256	-17.40451217	99.97085571
0.531999963	-0.010669773	-36.80348635	99.91392136
0.533999963	-0.007612536	-63.38196278	99.80957031
0.535999963	-0.007125903	-97.13991165	99.64344025
0.537999963	-0.002293338	-131.8873978	99.40641403
0.539999963	0.003495335	-159.5653343	99.10827637
0.541999963	0.007650955	-180.0638199	98.76338959
0.543999963	0.010479968	-193.3827591	98.3861351
0.545999962	0.006848536	-199.5222664	97.99085617
0.547999962	0.005325731	-199.9999809	97.59088516
0.549999962	0.001190305	-199.9999809	97.19089508
0.551999962	-0.002916213	-199.9999809	96.79088593
0.553999962	-0.007259361	-199.9999809	96.39089584
0.555999962	-0.00513779	-199.9999809	95.99088669
0.557999962	-0.003357753	-199.9999809	95.59089661
0.559999961	-0.002681594	-199.9999809	95.19088745
0.561999961	-0.001038648	-199.9999809	94.79089737
0.563999961	-0.003545973	-199.9999809	94.39088821
0.565999961	-0.000882	-199.9999809	93.99089813
0.567999961	-0.003787484	-199.9999809	93.59088898
0.569999961	-0.000991784	-199.9999809	93.1908989
0.571999961	-0.000105817	-199.9999809	92.79088974
0.57399996	-0.002371147	-199.9999809	92.39089966
0.57599996	0.001810957	-199.9999809	91.9908905
0.57799996	-0.002253838	-199.9999809	91.59090042
0.57999996	0.001393035	-199.9999809	91.19089127
0.58199996	0.001383312	-199.9999809	90.79090118
0.58399996	-0.000652727	-199.9999809	90.39089203
0.58599996	-0.000994466	-199.9999809	89.99090195
0.587999959	-0.001143385	-199.9999809	89.59089279
0.589999959	-8.19564E-07	-199.9999809	89.19090271
0.591999959	0.000953991	-199.9999809	88.79089355
0.593999959	-6.33299E-07	-199.9999809	88.39090347
0.595999959	-0.001455639	-199.9999809	87.99089432
0.597999959	-0.000755042	-199.9999809	87.59088516
0.599999959	-0.000574198	-199.9999809	87.19089508
0.601999959	0.000260808	-199.9999809	86.79088593
0.603999958	-4.44241E-05	-199.9999809	86.39089584
0.605999958	-0.000644699	-199.9999809	85.99088669
0.607999958	0.000207294	-199.9999809	85.59089661
0.609999958	-4.93601E-05	-199.9999809	85.19088745
0.611999958	0.000136252	-199.9999809	84.79089737
0.613999958	-0.000188351	-199.9999809	84.39088821
0.615999958	-0.000422355	-199.9999809	83.99089813
0.617999957	-0.000515096	-199.9999809	83.59088898
0.619999957	-0.000920761	-199.9999809	83.1908989
0.621999957	-0.000493154	-199.9999809	82.79088974
0.623999957	0.001596827	-199.9999809	82.39089966
0.625999957	0.000486039	-199.9999809	81.9908905
0.627999957	0.001872685	-199.9999809	81.59090042
0.629999957	4.12017E-05	-199.9999809	81.19089127
0.631999956	0.000915248	-199.9999809	80.79090118
0.633999956	0.000724904	-199.9999809	80.39089203
0.635999956	-0.000437219	-199.9999809	79.99090195
0.637999956	0.001220629	-199.9999809	79.59089279
0.639999956	-0.002224129	-199.9999809	79.19090271
0.641999956	-0.001501627	-199.9999809	78.79089355
0.643999956	9.89065E-06	-199.9999809	78.39090347
0.645999955	0.000114739	-199.9999809	77.99089432
0.647999955	-0.000112113	-199.9999809	77.59090424
0.649999955	-0.001362078	-199.9999809	77.19089508
0.651999955	-0.001444984	-199.9999809	76.79088593
0.653999955	-7.07805E-06	-199.9999809	76.39089584
0.655999955	0.000581462	-199.9999809	75.99088669
0.657999955	0.001987778	-199.9999809	75.59089661
0.659999955	-0.00064889	-199.9999809	75.19088745
0.661999954	-0.001386553	-199.9999809	74.79089737
0.663999954	-8.03731E-05	-199.9999809	74.39088821
0.665999954	-0.000759028	-199.9999809	73.99089813
0.667999954	0.000603776	-199.9999809	73.59088898
0.669999954	-0.001168624	-199.9999809	73.1908989
0.671999954	-0.001701247	-199.9999809	72.79088974
0.673999954	0.001863353	-199.9999809	72.39089966
0.675999953	0.000467058	-199.9999809	71.9908905
0.677999953	0.002063513	-199.9999809	71.59090042
0.679999953	0.000105351	-199.9999809	71.19089127
0.681999953	-0.001252033	-199.9999809	70.79090118
0.683999953	0.000727978	-199.9999809	70.39089203
0.685999953	-0.001413003	-199.9999809	69.99090195
0.687999953	-0.001803618	-199.9999809	69.59089279
0.689999952	0.001428835	-199.9999809	69.19090271
0.691999952	-0.003273282	-199.9999809	68.79089355
0.693999952	0.000525564	-199.9999809	68.39090347
0.695999952	0.001385007	-199.9999809	67.99089432
0.697999952	-0.001092814	-199.9999809	67.59090424
0.699999952	-0.000160355	-199.9999809	67.19089508
0.701999952	-0.002323464	-199.9999809	66.790905
0.703999951	0.000923742	-199.9999809	66.39089584
0.705999951	0.001517348	-199.9999809	65.99088669
0.707999951	-0.000519101	-199.9999809	65.59089661
0.709999951	7.18236E-05	-199.9999809	65.19088745
0.711999951	-0.001810249	-199.9999809	64.79089737
0.713999951	0.000494309	-199.9999809	64.39088821
0.715999951	0.002801251	-199.9999809	63.99089813
0.717999951	-0.001898333	-199.9999809	63.59088898
0.71999995	-0.001802724	-199.9999809	63.1908989
0.72199995	-4.23566E-05	-199.9999809	62.79088974
0.72399995	0.000240412	-199.9999809	62.39089966
0.72599995	0.003731698	-199.9999809	61.9908905
0.72799995	-9.1102E-05	-199.9999809	61.59090042
0.72999995	9.87202E-05	-199.9999809	61.19089127
0.73199995	0.001258422	-199.9999809	60.79090118
0.733999949	-0.000719056	-199.9999809	60.39089203
0.735999949	0.001856703	-199.9999809	59.99090195
0.737999949	-0.000599362	-199.9999809	59.59089279
0.739999949	-0.001070444	-199.9999809	59.19090271
0.741999949	-0.000562668	-199.9999809	58.79089355
0.743999949	-0.002198275	-199.9999809	58.39090347
0.745999949	0.002213307	-199.9999809	57.99089432
0.747999948	-0.000855494	-199.9999809	57.59090424
0.749999948	-0.001251027	-199.9999809	57.19089508
0.751999948	-0.00042079	-199.9999809	56.790905
0.753999948	-0.002014972	-199.9999809	56.39089584
0.755999948	0.003014114	-199.9999809	55.99090576
0.757999948	-4.45545E-05	-199.9999809	55.59089661
0.759999948	6.05918E-05	-199.9999809	55.19088745
0.761999947	0.000643767	-199.9999809	54.79089737
0.763999947	-0.001318771	-199.9999809	54.39088821
0.765999947	0.001886413	-199.9999809	53.99089813
0.767999947	-0.000857543	-199.9999809	53.59088898
0.769999947	-0.001025982	-199.9999809	53.1908989
0.771999947	0.00076836	-199.9999809	52.79088974
0.773999947	-0.000381172	-199.9999809	52.39089966
0.775999947	0.003070775	-199.9999809	51.9908905
0.777999946	7.29039E-05	-199.9999809	51.59090042
0.779999946	0.000194628	-199.9999809	51.19089127
0.781999946	0.002482273	-199.9999809	50.79090118
0.783999946	-0.001055282	-199.9999809	50.39089203
0.785999946	0.001210384	-199.9999809	49.99090195
0.787999946	-0.001782719	-199.9999809	49.59089279
0.789999946	-0.000461936	-199.9999809	49.19090271
0.791999945	0.001164172	-199.9999809	48.79089355
0.793999945	-0.001777671	-199.9999809	48.39090347
0.795999945	0.001947861	-199.9999809	47.99089432
0.797999945	-0.00132598	-199.9999809	47.59090424
0.799999945	-0.000988971	-199.9999809	47.19089508
0.801999945	0.000468604	-199.9999809	46.790905
0.803999945	-0.001745764	-199.9999809	46.39089584
0.805999944	0.002939105	-199.9999809	45.99090576
0.807999944	-0.001005884	-199.9999809	45.59089661
0.809999944	-0.000534765	-199.9999809	45.19090652
0.811999944	0.001343023	-199.9999809	44.79089737
0.813999944	-0.001999363	-199.9999809	44.39088821
0.815999944	0.00211658	-199.9999809	43.99089813
0.817999944	-0.002077557	-199.9999809	43.59088898
0.819999943	-0.001134966	-199.9999809	43.1908989
0.821999943	0.000307709	-199.9999809	42.79088974
0.823999943	0.002205167	-199.9999809	42.39089966
0.825999943	0.001699366	-199.9999809	41.9908905
0.827999943	0.000774544	-199.9999809	41.59090042
0.829999943	0.000170898	-199.9999809	41.19089127
0.831999943	-0.001008231	-199.9999809	40.79090118
0.833999943	0.001333095	-199.9999809	40.39089203
0.835999942	0.000373628	-199.9999809	39.99090195
0.837999942	-0.000554025	-199.9999809	39.59089279
0.839999942	-0.000302549	-199.9999809	39.19090271
0.841999942	-0.0006954	-199.9999809	38.79089355
0.843999942	0.000127386	-199.9999809	38.39090347
0.845999942	-0.000170395	-199.9999809	37.99089432
0.847999942	0.000903625	-199.9999809	37.59090424
0.849999941	-0.000878312	-199.9999809	37.19089508
0.851999941	-0.002033208	-199.9999809	36.790905
0.853999941	0.000928193	-199.9999809	36.39089584
0.855999941	0.000947807	-199.9999809	35.99090576
0.857999941	0.00133846	-199.9999809	35.59089661
0.859999941	0.000200849	-199.9999809	35.19090652
0.861999941	-0.001110211	-199.9999809	34.79089737
0.86399994	0.000862349	-199.9999809	34.39090729
0.86599994	0.000454895	-199.9999809	33.99089813
0.86799994	0.00100648	-199.9999809	33.59088898
0.86999994	-0.000414252	-199.9999809	33.1908989
0.87199994	-0.001007076	-199.9999809	32.79088974
0.87399994	0.00128258	-199.9999809	32.39089966
0.87599994	0.000416171	-199.9999809	31.9908905
0.877999939	0.001309887	-199.9999809	31.59090042
0.879999939	-0.000375286	-199.9999809	31.19089127
0.881999939	-5.53951E-05	-199.9999809	30.79090118
0.883999939	-0.001344401	-199.9999809	30.39089203
0.885999939	0.000240058	-199.9999809	29.99090195
0.887999939	0.000652764	-199.9999809	29.59089279
0.889999939	-0.002171956	-199.9999809	29.19090271
0.891999939	-0.000301618	-199.9999809	28.79089355
0.893999938	-0.000465289	-199.9999809	28.39090347
0.895999938	0.000533331	-199.9999809	27.99089432
0.897999938	0.000269525	-199.9999809	27.59090424
0.899999938	-0.002225284	-199.9999809	27.19089508
