% 1-10788-38207-E-Lauf1	42213.47444				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz
1.227599939	-0.860688865	-16.63657379	59.95882034	-0.002116081	-0.023881942
1.228799939	-0.867008388	-16.65071678	59.75881577	3.23355E-05	-0.021440685
1.229999939	-0.758818626	-16.67400932	59.55881119	0.000227657	-0.021206439
1.231199939	-0.704790771	-16.69147301	59.35880661	0.000422979	-0.021242797
1.232399939	-0.566539526	-16.68970871	59.15882111	-0.001334795	-0.023352057
1.233599939	-0.618503153	-16.68807983	58.95881653	-0.001139473	-0.023400933
1.234799939	-0.669629157	-16.68090248	58.75881195	0.001008944	-0.021454394
1.235999939	-0.665566504	-16.66498566	58.55880737	0.001204303	-0.021343492
1.237199939	-0.684190929	-16.64003372	58.3588028	0.001399606	-0.020925086
1.238399939	-0.775084317	-16.62719727	58.15881729	-0.001334753	-0.02323309
1.239599939	-0.906745017	-16.65834236	57.95881271	-0.002116109	-0.023707896
1.240799939	-0.70656693	-16.70526505	57.75880814	3.24566E-05	-0.021829754
1.241999939	-0.591729939	-16.70572472	57.55880356	0.001204102	-0.021170527
1.243199938	-0.473281085	-16.67957306	57.35881805	0.001399424	-0.021290034
1.244399938	-0.611009955	-16.650177	57.15881348	-0.000358499	-0.022974163
1.245599938	-0.744934678	-16.64027596	56.9588089	-0.001139501	-0.023455769
1.246799938	-0.829412341	-16.64690781	56.75880432	3.21446E-05	-0.021995753
1.247999938	-0.824267209	-16.64952278	56.55881882	0.001204386	-0.020629019
1.249199938	-0.792582154	-16.65486526	56.35881424	0.000422788	-0.021214336
1.250399938	-0.759005547	-16.66701126	56.15880966	-0.001334539	-0.022902936
1.251599938	-0.717068672	-16.70325851	55.95880508	-0.002116137	-0.023946017
1.252799938	-0.596042454	-16.70796585	55.75881958	3.24287E-05	-0.022308081
1.253999938	-0.586399794	-16.69300652	55.558815	0.001204074	-0.021565109
1.255199938	-0.47676447	-16.6547699	55.35881042	0.001399396	-0.021459013
1.256399938	-0.661861122	-16.62820816	55.15880585	-0.001334851	-0.023853928
1.257599938	-0.862154901	-16.63054276	54.95882034	-0.001139529	-0.023131222
1.258799938	-0.895719945	-16.65746689	54.75881577	3.27127E-05	-0.021675676
1.259999938	-0.825791955	-16.68778229	54.55881119	0.001204358	-0.020582229
1.261199938	-0.562374532	-16.69607162	54.35880661	0.000423356	-0.021764487
1.262399937	-0.549360693	-16.68492317	54.15882111	-0.001334567	-0.023807734
1.263599937	-0.6616503	-16.67055511	53.95881653	-0.001139245	-0.02367571
1.264799937	-0.674086213	-16.67073441	53.75881195	0.001009321	-0.021601468
1.265999937	-0.670578241	-16.65897369	53.55880737	0.001204642	-0.021430403
1.267199937	-0.717049658	-16.64293671	53.3588028	0.000423044	-0.021987408
1.268399937	-0.792879999	-16.62987518	53.15881729	-0.002311203	-0.024303049
1.269599937	-0.926139772	-16.6663208	52.95881271	-0.002115881	-0.023837537
1.270799937	-0.681388736	-16.71874619	52.75880814	3.26848E-05	-0.022056848
1.271999937	-0.507846713	-16.72052002	52.55880356	0.001204628	-0.021576732
1.273199937	-0.42070052	-16.68935966	52.35881805	0.002376274	-0.020835251
1.274399937	-0.600015819	-16.64688683	52.15881348	-0.000357972	-0.023524016
1.275599937	-0.775719047	-16.64478302	51.9588089	-0.000162651	-0.023023933
1.276799937	-0.714029133	-16.65065765	51.75880432	0.001009293	-0.021640211
1.277999937	-0.736310899	-16.6388092	51.55881882	0.001204615	-0.021186024
1.279199937	-0.743960679	-16.63774872	51.35881424	0.000423314	-0.021613091
1.280399937	-0.769854128	-16.65618324	51.15880966	-0.001334609	-0.023125857
1.281599937	-0.698389351	-16.694664	50.95880508	-0.001139287	-0.023069829
1.282799936	-0.57450062	-16.68946457	50.75881958	3.26568E-05	-0.022264272
1.283999936	-0.633544445	-16.66409302	50.558815	0.001204601	-0.021188706
1.285199936	-0.670691252	-16.64039421	50.35881042	0.000423449	-0.021762848
1.286399936	-0.8065418	-16.63883209	50.15880585	-0.001334473	-0.023187995
1.287599936	-0.889885545	-16.64888	49.95882034	-0.002115625	-0.023685843
1.288799936	-0.849137366	-16.66629791	49.75881577	3.27919E-05	-0.021435916
1.289999936	-0.801104784	-16.67944908	49.55881119	0.000228113	-0.021315515
1.291199936	-0.684233487	-16.70054626	49.35880661	0.000423435	-0.021451414
1.292399936	-0.490621626	-16.689888	49.15882111	-0.001334338	-0.023611933
1.293599936	-0.601929665	-16.67258263	48.95881653	-0.001139017	-0.023533255
1.294799936	-0.704649746	-16.67482567	48.75881195	0.0010094	-0.021463931
1.295999936	-0.723095	-16.66112137	48.55880737	0.001204759	-0.021297596
1.297199936	-0.721470594	-16.64448738	48.35882187	0.000423514	-0.021886732
1.298399936	-0.758956015	-16.63120079	48.15881729	-0.001334297	-0.023298655
1.299599936	-0.885681629	-16.65731049	47.95881271	-0.001139329	-0.022800714
1.300799936	-0.747875273	-16.69765472	47.75880814	3.29129E-05	-0.021785647
1.301999936	-0.650478363	-16.70430756	47.55880356	0.001204559	-0.021065623
1.303199935	-0.553303957	-16.68693161	47.35881805	0.00139988	-0.021214634
1.304399935	-0.611706436	-16.66526031	47.15881348	-0.001334366	-0.024047643
1.305599935	-0.782363832	-16.65494537	46.9588089	-0.001139045	-0.023695976
1.306799935	-0.786143064	-16.66400146	46.75880432	3.26009E-05	-0.022466332
1.307999935	-0.805765092	-16.6484108	46.55881882	0.000227923	-0.022149831
1.309199935	-0.838998497	-16.64748383	46.35881424	0.000423244	-0.021688193
1.310399935	-0.792797506	-16.66744804	46.15880966	-0.001334082	-0.023302287
1.311599935	-0.717608452	-16.69039345	45.95880508	-0.001138761	-0.023299605
1.312799935	-0.654519737	-16.68951035	45.75881958	0.001009209	-0.021459013
1.313999935	-0.637535095	-16.6804409	45.558815	0.001204531	-0.021507889
1.315199935	-0.591994047	-16.65115929	45.35881042	0.001399852	-0.021274239
1.316399935	-0.765479803	-16.63797379	45.15880585	-0.000357474	-0.022729784
1.317599935	-0.858930528	-16.64649582	44.95882034	-0.001139073	-0.023203641
1.318799935	-0.842977405	-16.6583519	44.75881577	3.31691E-05	-0.021849722
1.319999935	-0.784762263	-16.68305969	44.55881119	0.001204815	-0.020727664
1.321199935	-0.557358027	-16.69537354	44.35880661	0.001400136	-0.020858794
1.322399935	-0.552136123	-16.67059326	44.15882111	-0.000357786	-0.022812039
1.323599934	-0.71360302	-16.66602707	43.95881653	-0.001138789	-0.023553818
1.324799934	-0.614757478	-16.66441536	43.75881195	0.001009777	-0.021419078
1.325999934	-0.749406874	-16.66344452	43.55880737	0.001205099	-0.021169633
1.327199934	-0.703336895	-16.64919281	43.35882187	0.002376745	-0.019872934
1.328399934	-0.676640868	-16.62673378	43.15881729	-0.001334422	-0.023242682
1.329599934	-0.897845387	-16.64253044	42.95881271	-0.001138803	-0.022581071
1.330799934	-0.831623316	-16.69058228	42.75880814	3.31411E-05	-0.021466166
1.331999934	-0.568513393	-16.70687485	42.55880356	0.002181409	-0.019774884
1.333199934	-0.511995792	-16.67608452	42.35881805	0.002376731	-0.019876808
1.334399934	-0.622359455	-16.64444733	42.15881348	-0.000357516	-0.022468418
1.335599934	-0.765434444	-16.64633942	41.9588089	-0.000162194	-0.021970719
1.336799934	-0.720190465	-16.65176773	41.75880432	0.001009749	-0.02059713
1.337999934	-0.737897933	-16.64260483	41.55881882	0.002181693	-0.01916334
