%	3-10788-38173-A-andereRichtung				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0.305599992	-0.000329323	-0.016470186	60	-0.005867034	0.016070604
0.306399992	0.004550008	-0.01668492	60	-0.005867034	0.015935898
0.307199992	0.000258892	-0.018374721	60	-0.005867034	0.015794635
0.307999992	-0.000301631	-0.019849377	60	-0.005867034	0.015637875
0.308799992	0.009416303	-0.020369951	60	-0.005867034	0.015476942
0.309599992	0.000859616	-0.021585267	60	-0.005867034	0.015311241
0.310399992	-0.061022405	-0.029167686	60	-0.005867034	0.015109777
0.311199992	-0.04474609	-0.040230721	60	-0.005867034	0.014822483
0.311999992	-0.0298116	-0.049220249	60	-0.004890412	0.015431345
0.312799992	3.99725E-06	-0.053796094	60	-0.004890412	0.015009344
0.313599992	-0.000590682	-0.052387077	60	-0.003913939	0.015556663
0.314399992	3.69131E-05	-0.046515498	60	-0.003913939	0.015164465
0.315199992	-0.000372969	-0.037440658	60	-0.003913939	0.014834851
0.315999992	0.003323318	-0.029385649	60	-0.002937317	0.015552789
0.316799992	-3.61095E-05	-0.022409519	60	-0.002937317	0.015351325
0.317599992	-0.000653701	-0.015966481	60	-0.002937317	0.015204698
0.318399992	-0.000254101	-0.010003794	60	-0.002937317	0.015108138
0.319199992	-0.000632903	-0.005263223	60	-0.002937317	0.015053898
0.319999992	-0.074806459	-0.008645662	60	-0.002937317	0.01500681
0.320799992	-0.064840108	-0.017788447	60	-0.002937317	0.014893562
0.321599992	-0.013547788	-0.025354104	60	-0.001960844	0.01568526
0.322399992	-0.00140488	-0.028155264	60	-0.001960844	0.015463531
0.323199992	-0.000625705	-0.026532885	60	-0.001960844	0.015241802
0.323999992	-0.000915796	-0.021709681	60	-0.001960844	0.015051067
0.324799992	0.000809424	-0.015643343	60	-0.001960844	0.01490742
0.325599992	0.000640926	-0.00923854	60	-0.001960844	0.014816821
0.326399992	-0.006863134	-0.006537873	60	-0.001960844	0.014763772
0.327199992	-0.059991971	-0.011146766	60	-0.001960844	0.014695823
0.327999992	-0.038278867	-0.017358035	60	-0.000984222	0.015554428
0.328799992	0.004217687	-0.018454043	60	-0.000984222	0.015405416
0.329599992	-4.00608E-05	-0.015607504	60	-0.000984222	0.015268326
0.330399992	-0.000361622	-0.010698477	60	-0.000984222	0.015165806
0.331199992	0.00327636	-0.004626776	60	-0.000984222	0.015109777
0.331999992	-0.000195051	0.001256822	60	-0.000984222	0.015103817
0.332799992	-0.032772254	0.000637345	60	-0.000984222	0.01511991
0.333599992	-0.030285945	-0.007177916	60	-0.000984222	0.015084743
0.334399992	-0.029230764	-0.011773502	60	-0.000984222	0.015000701
0.335199992	-0.003275799	-0.013252819	60	-0.000984222	0.014896393
0.335999992	0.002553749	-0.011240488	60	-0.000984222	0.014796257
0.336799991	0.007742444	-0.009093747	60	-7.59959E-06	0.015694201
0.337599991	0.003292984	-0.005606814	60	-7.59959E-06	0.015636981
0.338399991	0.001674399	-0.000937159	60	-7.59959E-06	0.015613139
0.339199991	0.000876577	0.003368695	60	-0.000984222	0.01465261
0.339999991	0.000747646	0.002976571	60	-7.59959E-06	0.015666783
0.340799991	-0.000154306	-0.003315737	60	-7.59959E-06	0.015662014
0.341599991	0.005009216	-0.00516187	60	-7.59959E-06	0.015620291
0.342399991	0.001951205	-0.001728914	60	-7.59959E-06	0.015596449
0.343199991	-0.000171568	0.002201623	60	-7.59959E-06	0.015603602
0.343999991	-0.000579785	0.004151602	60	-7.59959E-06	0.015636981
0.344799991	-0.000500361	0.003342153	60	-7.59959E-06	0.015667975
