%	Kombinierte Traces		NCA 4	p=10						
Zeit	Drehmoment	Standardabweichung_Drehmoment	Geschwindigkeit	StandardabweichungGeschwindigkeit	Position	StandardabweichungPosition	lag_error	Standardabweichunglag_error	Positions_differenz	StandardabweichungPositions_differenz
0.078399998	0.012420343	0.030532364	-0.000605297	0.003920075	0	0	1.05573E-05	0.000133248	-0.00304422	0.002625178
0.079199998	0.012443658	0.031953877	-0.001704898	0.00500188	0	0	4.7411E-05	0.000226072	-0.003019315	0.002683931
0.079999998	0.014373782	0.030040257	-0.000776933	0.003932435	0	0	-7.8695E-06	6.31149E-06	-0.003085595	0.002629173
0.080799998	0.013218818	0.031091932	0.001188344	0.003846234	0	0	2.89842E-05	0.000186878	-0.003045159	0.00266146
0.081599998	0.011920854	0.030289377	0.001808464	0.005553786	0	0	4.74082E-05	0.000226704	-0.003012301	0.002693697
0.082399998	0.014494456	0.033821889	0.001203555	0.004482489	0	0	6.58322E-05	0.000260009	-0.00298141	0.002663434
0.083199998	0.012535011	0.032761075	5.50142E-05	0.003439455	0	0	8.4259E-05	0.00028682	-0.002958963	0.002716187
0.083999998	0.362791636	0.299457768	0.009177493	0.011497234	0.000216286	0.000184278	0.000255469	0.000267441	-0.002985237	0.00268114
0.084799998	1.738277017	0.517126292	0.115609855	0.058163611	0.001689263	0.000775107	0.001671764	0.000768962	-0.002604476	0.002693145
0.085599998	3.574590984	0.616664961	0.424236194	0.13205453	0.005840086	0.001825763	0.00460525	0.001151911	-0.00161839	0.002779421
0.086399998	5.53610942	0.597234649	0.990609526	0.214590485	0.014089188	0.003313636	0.008157224	0.001397505	-0.000390495	0.002955304
0.087199998	7.285664046	0.509584863	1.80952533	0.288988897	0.027863485	0.005245525	0.011613189	0.00157455	0.001041034	0.00320254
0.087999998	8.695549812	0.424819228	2.847488619	0.352967691	0.048586647	0.007613314	0.01403756	0.001714531	0.002184949	0.003243834
0.088799998	9.839406661	0.377710244	4.065440628	0.403818446	0.077673354	0.010438993	0.015710853	0.001826394	0.003457455	0.003310136
0.089599998	10.88719143	0.385985847	5.4310991	0.446398319	0.116559514	0.013705598	0.01689518	0.001779229	0.004956309	0.00345549
0.090399998	11.99598105	0.435217803	6.937860966	0.488465734	0.166656566	0.017413139	0.017484104	0.001975691	0.0062669	0.003651546
0.091199998	13.26560001	0.506508075	8.59525138	0.536038815	0.229393221	0.021565179	0.018145064	0.002129169	0.007804764	0.003865548
0.091999998	14.61834215	0.554171658	10.418195	0.588988278	0.306189555	0.026166534	0.018716372	0.001916563	0.009261454	0.003862281
0.092799998	16.01861356	0.570467608	12.41347972	0.643124644	0.398479678	0.031204092	0.019883921	0.001957482	0.011272177	0.003817698
0.093599998	17.4589883	0.544903419	14.58824282	0.702125205	0.507660992	0.036695686	0.021080613	0.00173236	0.01325399	0.003791516
0.094399998	18.80089565	0.464652429	16.94558212	0.762174289	0.635184882	0.042631816	0.022384303	0.001661121	0.015327751	0.003743329
0.095199998	19.84815284	0.395912277	19.47959137	0.818830341	0.782457748	0.049000594	0.023706983	0.00169738	0.017415431	0.003696873
0.095999998	20.81900956	0.363770301	22.18889877	0.877843553	0.950902903	0.055822253	0.025200204	0.001500628	0.019646939	0.003622305
0.096799998	21.76207614	0.372372367	25.07043662	0.935995544	1.141952659	0.063093172	0.02692338	0.001729206	0.022048742	0.003919216
0.097599998	22.80563819	0.460584607	28.12194644	0.986909056	1.357023851	0.070796756	0.028917428	0.001767047	0.02459747	0.004071418
0.098399998	23.84200085	0.375678912	31.35422376	1.036405228	1.597529357	0.078957875	0.031223391	0.001644094	0.027336208	0.004072172
0.099199997	24.92236173	0.533140109	34.76608809	1.081007643	1.864915524	0.087555295	0.033937349	0.002002837	0.030361476	0.003819109
0.099999997	25.64770778	0.356867576	38.33764663	1.122811134	2.160373904	0.096426501	0.036411364	0.002175397	0.033197066	0.004029731
0.100799997	25.72375621	0.352157327	41.9926544	1.133018249	2.484280928	0.1053161	0.038200886	0.002182	0.036022731	0.004088672
0.101599997	25.60092642	0.429031238	45.64417627	1.138232617	2.836645594	0.114205868	0.039314282	0.00241964	0.039005448	0.003787693
0.102399997	25.428672	0.318508528	49.26505316	1.131737156	3.217467902	0.123095769	0.039493502	0.002495119	0.041665109	0.003973655
0.103199997	25.30511593	0.351510495	52.86688204	1.121138485	3.626741013	0.131977519	0.039512601	0.002528962	0.044549074	0.004020234
0.103999997	25.21280364	0.344861777	56.4455059	1.111797902	4.06443218	0.140834601	0.039136855	0.002638687	0.047317271	0.004019025
0.104799997	24.45669203	0.389386476	59.9681331	1.087890327	4.529950844	0.149349853	0.038095555	0.002741065	0.050053017	0.004248874
0.105599997	23.38880982	0.428073242	63.33832356	1.031423638	5.021960061	0.157416093	0.035867272	0.002732672	0.052641186	0.003766632
0.106399997	22.18345689	0.401957204	66.50210125	0.958094169	5.539018883	0.165037858	0.032392469	0.002755988	0.054858439	0.004031819
0.107199997	21.03604767	0.4068005	69.44018152	0.890076963	6.079731347	0.172222471	0.028053994	0.002597006	0.056778209	0.003931883
0.107999997	19.91087701	0.370703109	72.14704377	0.820550988	6.642663704	0.178954318	0.023382056	0.002661012	0.058473995	0.003776786
0.108799997	18.83725127	0.433334616	74.63652802	0.749941131	7.226397316	0.185253532	0.019146398	0.002462538	0.060357137	0.003595236
0.109599997	17.45731789	0.491453271	76.9123171	0.69262447	7.829502034	0.191091714	0.015177107	0.00227873	0.061950579	0.003841792
0.110399997	16.16741987	0.485826209	78.99795388	0.636168406	8.450557421	0.196492698	0.011488509	0.002047262	0.063120474	0.003986834
0.111199997	14.93237854	0.429833422	80.90177989	0.581017307	9.088136565	0.201449095	0.008665929	0.002021315	0.06437799	0.003854759
0.111999997	13.76128062	0.448317161	82.62430702	0.526547858	9.740815792	0.205969115	0.006797481	0.001914513	0.065858744	0.003964699
0.112799997	12.6541836	0.428288481	84.18286075	0.470379068	10.40718726	0.210039996	0.004994603	0.001849836	0.066689281	0.004090381
0.113599997	11.48335612	0.439190613	85.57683261	0.418753156	11.08582047	0.213661738	0.00399014	0.001912573	0.067703257	0.003896271
0.114399997	10.35916023	0.45503293	86.81088746	0.36693805	11.77528489	0.216834343	0.003706358	0.001648636	0.068958351	0.003999627
0.115199997	9.252745556	0.441847679	87.88589636	0.312429187	12.4741637	0.219574245	0.002886109	0.001734224	0.069321979	0.004089259
0.115999997	8.038274369	0.454262225	88.7861832	0.256603919	13.18102315	0.221865816	0.002741325	0.001569603	0.070090794	0.00375828
0.116799997	6.74308498	0.57862357	89.51175906	0.199083317	13.89437981	0.223634327	0.002555009	0.001608244	0.070670556	0.003954477
0.117599997	4.676184911	0.731150685	90.00089019	0.116999238	14.61203557	0.224590106	0.001469751	0.001973968	0.07073498	0.003935685
0.118399997	2.262227295	0.875878198	90.15494653	0.031213597	15.33123628	0.224659576	-0.000660253	0.002101971	0.07056473	0.003678632
0.119199997	-0.361043738	0.868465381	89.92695646	0.132630404	16.04913136	0.223843529	-0.003953815	0.002295297	0.069906329	0.00356367
0.119999997	-3.191142125	0.873073914	89.28283375	0.262159572	16.76289936	0.222166559	-0.007741712	0.002342249	0.068983616	0.003586016
0.120799997	-5.313102758	0.614549998	88.25977498	0.365242304	17.47028891	0.219945264	-0.011280185	0.002241612	0.067573122	0.003719964
0.121599997	-7.076102554	0.536317671	86.97095792	0.432880819	18.16981586	0.217278562	-0.01282097	0.001736441	0.066407278	0.003501498
0.122399997	-8.423491928	0.475384652	85.4927158	0.482288375	18.86003062	0.214171693	-0.012534216	0.001866526	0.065053935	0.003599544
0.123199997	-9.439287276	0.382707637	83.89120224	0.516822026	19.53953401	0.210611232	-0.010700386	0.001942396	0.063468713	0.003869085
0.123999997	-10.44971975	0.382314572	82.19427418	0.544070952	20.20687463	0.206606134	-0.007305135	0.001999201	0.062279414	0.003454955
0.124799997	-11.2494834	0.352588617	80.42676156	0.568931965	20.86064609	0.202168313	-0.003808258	0.002005782	0.060803761	0.003581021
0.125599997	-12.40662424	0.458565005	78.5699473	0.598732585	21.4994355	0.197273206	-0.000987688	0.001673821	0.059065262	0.004020983
0.126399997	-13.60966191	0.5364008	76.59336133	0.643006395	22.12180336	0.191949842	0.000839105	0.001483313	0.057323918	0.003591739
0.127199997	-15.11759947	0.531499691	74.46805573	0.694680289	22.72632995	0.186165477	0.001575947	0.001314418	0.05581966	0.003884044
0.127999997	-16.8335838	0.656341507	72.1500201	0.755587211	23.31159484	0.179943962	0.000260435	0.00167721	0.053628177	0.004016579
0.128799997	-18.55379799	0.608776884	69.62788521	0.826192212	23.87618155	0.173273401	-0.002153206	0.001549062	0.051468285	0.003618127
0.129599997	-19.98018261	0.439594676	66.89527979	0.887822335	24.41865597	0.166166425	-0.005853448	0.001657889	0.048928323	0.003988935
0.130399997	-21.30004397	0.511969114	63.94447773	0.951917369	24.93759299	0.158606693	-0.010015302	0.001867932	0.046516522	0.00380797
0.131199997	-22.50194672	0.469106612	60.79251898	1.021225858	25.43158441	0.150609901	-0.015066755	0.002054977	0.043521034	0.004045412
0.131999997	-23.75212108	0.383824661	57.45126451	1.080141281	25.89920332	0.142168584	-0.020164195	0.002539016	0.040660332	0.003839983
0.132799997	-24.77509261	0.455990016	53.93055351	1.127639495	26.33910845	0.133355547	-0.025648376	0.002480362	0.037478844	0.003844247
0.133599997	-25.30741134	0.384532407	50.28571017	1.151532163	26.75061784	0.124465521	-0.030281095	0.002820002	0.034643001	0.003793236
0.134399997	-25.39976915	0.4368951	46.6122574	1.158423619	27.13366958	0.115575598	-0.034477197	0.002536185	0.031274023	0.003811801
0.135199997	-25.34136171	0.438651118	42.95809303	1.152197364	27.48828096	0.106689575	-0.037573349	0.002786735	0.028136991	0.004039178
0.135999997	-25.25491902	0.469264871	39.32639039	1.122473705	27.81441922	0.097796169	-0.039846024	0.003394182	0.025182248	0.003736295
0.136799997	-25.15393369	0.493210767	35.71031002	1.11808474	28.11212216	0.088918663	-0.041653651	0.00325726	0.022179271	0.003757857
0.137599997	-24.60053379	0.38608109	32.12708747	1.099963707	28.38170789	0.080266755	-0.04281365	0.002901999	0.019119182	0.003870218
0.138399997	-23.49223151	0.523952908	28.66476304	1.065399246	28.6243248	0.072044448	-0.04240583	0.002890843	0.016447585	0.003714985
0.139199996	-22.16788155	0.590874705	25.40466913	0.992509451	28.84137891	0.064263098	-0.040818795	0.003348063	0.013767049	0.003531427
0.139999996	-20.87287356	0.573947192	22.36875793	0.920907926	29.03430579	0.056934621	-0.038029987	0.003678675	0.011464965	0.003688774
0.140799996	-19.58020135	0.611429693	19.54646082	0.850000027	29.20452406	0.050038994	-0.034588059	0.0032985	0.009316515	0.003836804
0.141599996	-18.04642134	0.719638111	16.95079019	0.764428504	29.35343976	0.043592435	-0.030820542	0.003135892	0.007310046	0.003886104
0.142399996	-16.40153243	0.540556369	14.57082194	0.696932489	29.48251112	0.037594483	-0.02701811	0.002475057	0.00552785	0.003978981
0.143199996	-14.88368362	0.495270112	12.38146559	0.646870031	29.59312547	0.032037932	-0.023268758	0.001969596	0.004064806	0.003670523
0.143999996	-13.46219498	0.519752547	10.36572935	0.6056168	29.68672015	0.026926161	-0.019973722	0.001809818	0.002531255	0.003726785
0.144799996	-12.04445596	0.529827833	8.524993429	0.561259515	29.76472567	0.022259203	-0.017110481	0.001934723	0.000891084	0.003656587
0.145599996	-10.66891544	0.560047569	6.867041453	0.507838438	29.82855527	0.01803323	-0.014214217	0.002045022	-0.000347754	0.003715725
0.146399996	-9.321686115	0.567802012	5.391125967	0.449347914	29.8796445	0.014260161	-0.011372967	0.002121973	-0.001244357	0.003770955
0.147199996	-8.021963416	0.556666315	4.098575538	0.386858573	29.91939113	0.010928233	-0.009061646	0.00235935	-0.002223487	0.003749435
0.147999996	-6.784613672	0.517144645	2.984565703	0.324350819	29.94924293	0.008037091	-0.006944478	0.002458095	-0.002934151	0.003908165
0.148799996	-5.578573677	0.448495624	2.047306607	0.265534194	29.97060272	0.005586984	-0.005201572	0.002447217	-0.003556553	0.004003507
0.149599996	-4.406178888	0.406909136	1.28074563	0.210570316	29.98491287	0.003597639	-0.003828831	0.002399687	-0.004131254	0.003952518
0.150399996	-3.246989669	0.37923219	0.683569987	0.159077154	29.99358699	0.002037338	-0.002545708	0.002367592	-0.004442697	0.003983099
0.151199996	-2.087000253	0.367457543	0.254003841	0.109285121	29.99803975	0.000922339	-0.001274399	0.002095283	-0.004494128	0.004039645
0.151999996	-0.909663246	0.364439655	-0.003464991	0.059373	29.9997085	0.000260407	-0.000213442	0.002000439	-0.004547834	0.004061713
0.152799996	0.178420935	0.340437956	-0.080035476	0.02054414	29.9999946	1.68856E-05	0.000539141	0.00196377	-0.004700945	0.00415954
0.153599996	0.80726409	0.097372845	-0.005994164	0.037509242	30	0	0.001355626	0.00194556	-0.004280628	0.004134237
0.154399996	0.665134891	0.106896705	0.097630899	0.031239897	30	0	0.001171377	0.002082112	-0.00396828	0.004142173
0.155199996	0.305798978	0.129812075	0.153342624	0.018061614	30	0	0.000286926	0.002066375	-0.003736854	0.004120725
0.155999996	0.052840032	0.066545687	0.163434361	0.019272504	30	0	-0.001113406	0.00208771	-0.003819975	0.004071441
0.156799996	-0.068945046	0.079570006	0.14268931	0.024109597	30	0	-0.002347939	0.001954269	-0.003824926	0.004067857
0.157599996	-0.121673266	0.09104615	0.103020497	0.026354311	30	0	-0.003435052	0.001749253	-0.003957161	0.004122249
0.158399996	-0.101408309	0.090051991	0.058839382	0.025442061	30	0	-0.00400625	0.001557091	-0.003927179	0.004038667
0.159199996	-0.038814787	0.083960089	0.020571829	0.021848771	30	0	-0.004448472	0.001464002	-0.00410123	0.004038469
0.159999996	0.022372453	0.072767816	-0.003802621	0.015949532	30	0	-0.004485323	0.001303229	-0.004112777	0.003957681
0.160799996	0.055931806	0.078569895	-0.011523712	0.009851707	30	0	-0.0045406	0.001210829	-0.004254234	0.004018944
0.161599996	0.059636204	0.0712798	-0.007358629	0.010139069	30	0	-0.004448469	0.001187357	-0.004240033	0.003926799
0.162399996	0.051355778	0.06570692	-0.000528621	0.009487686	30	0	-0.004374773	0.001233453	-0.004189262	0.003935371
