%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference	MittelwertStatorCurrent	StandardabweichungStatorCurrent	minus3sigmaStatorCurrent	plus3sigmaStatorCurrent
0.0144	0.000466839	7.58571E-06	0.000444082	0.000489596	0.000608366	4.6718E-05	0.000468212	0.00074852	1.375167847	0.202476988	0.767736882	1.982598812	0.042256737	0.00257395	0.034534887	0.049978587	0.023581289	0.005014382	0.008538144	0.038624434	0.000826334	2.20052E-05	0.000760318	0.00089235
0.0148	0.000470595	7.82576E-06	0.000447118	0.000494072	0.000641464	4.69856E-05	0.000500507	0.000782421	1.506959915	0.212307551	0.870037262	2.143882568	0.042766424	0.002364495	0.03567294	0.049859908	0.025071663	0.005336326	0.009062686	0.04108064	0.00083301	2.06408E-05	0.000771088	0.000894933
0.0152	0.000471852	6.18575E-06	0.000453295	0.000490409	0.000675003	4.73129E-05	0.000533064	0.000816942	1.645689011	0.222182076	0.979142784	2.312235238	0.043052019	0.002270165	0.036241523	0.049862514	0.026394191	0.005181899	0.010848493	0.041939889	0.000833049	1.96899E-05	0.000773979	0.000892118
0.0156	0.000473057	7.30814E-06	0.000451132	0.000494981	0.000708672	4.75238E-05	0.0005661	0.000851243	1.791389783	0.232085224	1.09513411	2.487645457	0.043439774	0.002046029	0.037301686	0.049577861	0.027942417	0.005039494	0.012823934	0.043060899	0.000837216	2.05433E-05	0.000775586	0.000898846
0.016	0.000475664	5.86798E-06	0.00045806	0.000493267	0.000742566	4.76763E-05	0.000599538	0.000885595	1.944083214	0.241999493	1.218084733	2.670081694	0.043577993	0.002628307	0.035693071	0.051462915	0.029310592	0.00509232	0.014033633	0.04458755	0.000844353	1.87642E-05	0.000788061	0.000900646
0.0164	0.000475793	6.56345E-06	0.000456103	0.000495484	0.00077641	4.78393E-05	0.000632892	0.000919928	2.103782336	0.251916956	1.348031468	2.859533204	0.043674321	0.002394611	0.03649049	0.050858153	0.030766127	0.005211711	0.015130994	0.04640126	0.000840591	2.02436E-05	0.00077986	0.000901322
0.0168	0.000473743	7.08289E-06	0.000452494	0.000494992	0.00081034	4.78382E-05	0.000666825	0.000953855	2.270490964	0.26181526	1.485045183	3.055936746	0.043568054	0.002357894	0.036494373	0.050641735	0.032117081	0.004923439	0.017346763	0.046887399	0.000834222	2.3049E-05	0.000765075	0.000903369
0.0172	0.000472888	4.73741E-06	0.000458675	0.0004871	0.000843977	4.76973E-05	0.000700885	0.000987069	2.444196383	0.271686295	1.629137499	3.259255268	0.043365348	0.002661567	0.035380648	0.051350049	0.03345307	0.005010786	0.018420712	0.048485428	0.000834044	1.50001E-05	0.000789044	0.000879045
0.0176	0.000471935	8.32686E-06	0.000446955	0.000496916	0.000877757	4.75764E-05	0.000735028	0.001020486	2.624883652	0.281514342	1.780340626	3.469426677	0.04316264	0.00226645	0.036363291	0.04996199	0.034865138	0.005408098	0.018640846	0.051089431	0.000830726	2.8735E-05	0.000744521	0.000916931
0.018	0.000469733	7.16482E-06	0.000448239	0.000491227	0.000911156	4.71472E-05	0.000769714	0.001052597	2.812530835	0.291288541	1.938665213	3.686396458	0.042900251	0.00225407	0.03613804	0.049662461	0.036305475	0.005179377	0.020767343	0.051843607	0.000824647	2.04573E-05	0.000763275	0.000886019
0.0184	0.000467353	5.13129E-06	0.000451959	0.000482747	0.000944549	4.67656E-05	0.000804252	0.001084845	3.007094065	0.30099639	2.104104896	3.910083234	0.042362885	0.002742333	0.034135885	0.050589885	0.037554505	0.005096897	0.022263814	0.052845195	0.000818285	1.81143E-05	0.000763943	0.000872628
