%	1-10788-38173-A-16.06.2015_P10		Axiales Spiel		
Zeit	Drehmoment	Geschindigkeit	Position	lag_error	Positions_Differenz
0.581599985	-0.149777502	-0.016168449	120	-0.001964569	-0.009485632
0.582399985	-0.116588965	-0.013937285	120	-0.001964569	-0.009608418
0.583199985	-0.142113879	-0.008945648	120	-0.001964569	-0.009693056
0.583999985	-0.154522002	-0.005122583	120	-0.001964569	-0.009744316
0.584799985	-0.166027591	-0.005563508	120	-0.001964569	-0.009784847
0.585599985	-0.176377326	-0.008152203	120	-0.001964569	-0.009840876
0.586399985	-0.185358807	-0.007969406	120	-0.001964569	-0.009907633
0.587199985	-0.170976713	-0.008293258	120	-0.001964569	-0.009973198
0.587999985	-0.186256543	-0.009105123	120	-0.001964569	-0.010044724
0.588799985	-0.197993681	-0.010794992	120	-0.001964569	-0.010126978
0.589599985	-0.186160535	-0.011785366	120	-0.001964569	-0.010217577
0.590399985	-0.18903704	-0.011940395	120	-0.001964569	-0.010308176
0.591199985	-0.185619056	-0.012378493	120	-0.001964569	-0.010404736
0.591999985	-0.159536034	-0.013178872	120	-0.000988096	-0.009530187
0.592799985	-0.169952467	-0.009913388	120	-0.000988096	-0.009622574
0.593599985	-0.150249109	-0.006887387	120	-0.000988096	-0.009688139
0.594399985	-0.157989308	-0.004844931	120	-0.000988096	-0.009731054
0.595199985	-0.182472378	-0.003180595	120	-0.000988096	-0.009761453
0.595999985	-0.184598342	-0.002946189	120	-0.000988096	-0.009786487
0.596799985	-0.175144404	-0.002335492	120	-0.000988096	-0.009807944
0.597599985	-0.178753823	-0.003517356	120	-0.000988096	-0.00983119
0.598399985	-0.201127887	-0.004094137	120	-0.000988096	-0.009863377
0.599199985	-0.196469098	-0.005713434	120	-0.000988096	-0.0099051
0.599999985	-0.185449153	-0.00636412	120	-0.000988096	-0.009956956
0.600799985	-0.191351414	-0.005389647	120	-0.000988096	-0.010004044
0.601599985	-0.180353299	-0.006306631	120	-0.000988096	-0.010051727
0.602399985	-0.207813755	-0.006736471	120	-0.000988096	-0.010108948
0.603199985	-0.189754188	-0.00674471	120	-0.000988096	-0.01016736
0.603999985	-0.188052967	-0.005776649	120	-0.000988096	-0.01021564
0.604799985	-0.19272013	-0.005501941	120	-0.000988096	-0.010259151
0.605599985	-0.155250013	-0.005196062	120	-0.000988096	-0.010304451
0.606399985	-0.217635542	-0.002988336	120	-0.000988096	-0.010333061
0.607199985	-0.225136518	-0.004070386	120	-1.14739E-05	-0.009382665
0.607999985	-0.166281313	-0.00481788	120	-1.14739E-05	-0.009423196
0.608799985	-0.187769547	-0.000608454	120	-0.000988096	-0.010420084
0.609599985	-0.225665346	-0.002124191	120	-1.14739E-05	-0.009447634
0.610399985	-0.172287032	-0.004668303	120	-1.14739E-05	-0.009483397
0.611199985	-0.153987408	-0.001539741	120	-0.000988096	-0.010486245
0.611999985	-0.218160748	-0.000133487	120	-0.000988096	-0.010484457
0.612799985	-0.230554283	-0.004897786	120	-0.000988096	-0.010508299
0.613599984	-0.208557636	-0.007076827	120	-0.000988096	-0.010561943
0.614399984	-0.210182071	-0.005341059	120	-0.000988096	-0.010612011
0.615199984	-0.222267061	-0.004925237	120	-0.000988096	-0.01065135
0.615999984	-0.232011527	-0.00756283	120	-0.000988096	-0.010701418
0.616799984	-0.220635593	-0.0105589	120	-1.14739E-05	-0.00979811
0.617599984	-0.938984215	-0.034439001	119.9995422	-0.00045969	-0.009928644
0.618399984	-2.565180302	-0.202237785	119.9973106	-0.002693656	-0.010818541
0.619199984	-4.446723461	-0.603703737	119.9918747	-0.005206563	-0.01123026
0.619999984	-6.347532749	-1.258844376	119.9817848	-0.009421468	-0.013206601
0.620799984	-8.027477264	-2.15004158	119.9656677	-0.011878168	-0.013814121
0.621599984	-9.386358261	-3.244212627	119.9420547	-0.014976494	-0.015764236
0.622399984	-10.57901096	-4.508649349	119.9095535	-0.016232717	-0.016615987
0.623199984	-11.71308899	-5.922420502	119.8667145	-0.017070192	-0.017622709
0.623999984	-12.95174885	-7.499043465	119.8121452	-0.016958284	-0.017990768
0.624799984	-14.16023254	-9.24227047	119.7443962	-0.017320206	-0.019127727
0.625599984	-15.26975441	-11.14360809	119.662056	-0.019578561	-0.022309124
0.626399984	-16.53396797	-13.23692036	119.5637131	-0.019297281	-0.023072809
0.627199984	-17.85911369	-15.49276924	119.4479179	-0.018875438	-0.023881793
0.627999984	-19.21179199	-17.86833954	119.3132782	-0.019736246	-0.025783926
0.628799984	-20.18693161	-20.42618942	119.1583443	-0.022325912	-0.028921887
0.629599984	-21.11149216	-23.20034409	118.9817047	-0.024161092	-0.031177253
0.630399984	-22.5564785	-26.13194084	118.781929	-0.024711597	-0.032074824
0.631199984	-23.30652428	-29.21460724	118.5576057	-0.026376904	-0.033684038
0.631999984	-24.44138718	-32.47831726	118.3073044	-0.030579912	-0.03742734
0.632799984	-25.73775482	-35.97301483	118.0296135	-0.034835974	-0.040964875
0.633599984	-26.14716148	-39.66927338	117.7236176	-0.036150441	-0.042486638
0.634399984	-24.60976028	-43.31088638	117.3900223	-0.036740527	-0.045176595
0.635199984	-23.65631485	-46.69903564	117.03022	-0.035214089	-0.047535151
0.635999984	-22.00505447	-49.83719254	116.6456413	-0.032101478	-0.049436539
0.636799984	-20.73172569	-52.7790451	116.2376976	-0.026954925	-0.049891621
0.637599984	-19.26051521	-55.49185944	115.8079147	-0.022169361	-0.051324517
0.638399984	-16.73695374	-57.85255432	115.358696	-0.016314629	-0.052453429
0.639199984	-13.61348057	-59.78295517	114.8928642	-0.011426238	-0.054761022
0.639999984	-10.85295296	-61.3240509	114.4133186	-0.003682664	-0.053838044
0.640799984	-7.947178364	-62.45975494	113.9228439	0.000973847	-0.055456907
0.641599984	-5.384753704	-63.19133759	113.4243393	0.007341728	-0.054348856
0.642399984	-2.801730871	-63.54634857	112.9206085	0.010454133	-0.055280775
0.643199984	-0.517518103	-63.56129837	112.4145317	0.01511042	-0.053382069
0.643999984	1.913549185	-63.2301712	111.9089317	0.015366776	-0.05473569
0.644799984	4.261326313	-62.54327011	111.4066505	0.01797582	-0.052594095
0.645599984	6.648646355	-61.56435013	110.9105492	0.016993815	-0.053301901
0.646399984	9.395762444	-60.24554443	110.4234695	0.019173464	-0.050345659
0.647199984	12.14128017	-58.56265259	109.9482536	0.01759436	-0.050682425
0.647999984	14.47831631	-56.55039978	109.4877625	0.019008694	-0.047540069
0.648799984	17.03296661	-54.22413635	109.0448189	0.019426653	-0.045322329
0.649599984	19.55387497	-51.54066467	108.6222267	0.020657657	-0.042238943
0.650399984	20.97147942	-48.57408524	108.2220078	0.019863155	-0.040650703
0.651199984	21.59670067	-45.52376556	107.8456497	0.020448174	-0.037003905
0.651999984	22.05896378	-42.37919998	107.494545	0.020906664	-0.033993274
0.652799984	23.83957291	-39.10752869	107.1701241	0.020708186	-0.032777339
0.653599983	24.2592144	-35.60017014	106.8737221	0.025087404	-0.02742663
0.654399983	24.53556252	-32.0267868	106.6054535	0.027322979	-0.024008304
0.655199983	22.89445305	-28.57168198	106.3640976	0.028152904	-0.020370036
0.655999983	22.0018177	-25.42219543	106.1482239	0.025178534	-0.020109266
0.656799983	20.74625015	-22.40721512	105.95644	0.024788151	-0.01682505
0.657599983	19.39831924	-19.64850616	105.7872772	0.023606811	-0.014009029
0.658399983	18.32727432	-17.10778999	105.6393623	0.021187314	-0.012832135
0.659199983	17.04770088	-14.6521759	105.5112267	0.020990765	-0.009397715
0.659999983	15.2612648	-12.34144974	105.4014778	0.01768657	-0.008379966
0.660799983	13.23918056	-10.289011	105.3086853	0.014735833	-0.006667823
0.661599983	11.63907242	-8.505289078	105.2314186	0.00973872	-0.007506162
0.662399983	10.34575558	-6.902767181	105.1682663	0.007131458	-0.006795973
0.663199983	9.183112144	-5.46981287	105.1177979	0.006467471	-0.004847497
0.663999983	8.122056961	-4.188197613	105.0785828	0.005348113	-0.003941506
0.664799983	6.983287811	-3.046118736	105.0492287	0.004302536	-0.003242642
0.665599983	5.744401455	-2.069018364	105.028286	0.003862263	-0.002036542
0.666399983	4.445274353	-1.269969583	105.0143242	0.002603195	-0.001682192
0.667199983	3.148294687	-0.656597495	105.0059319	0.001056265	-0.001736432
0.667999983	1.857864976	-0.229667425	105.0016975	-0.000248789	-0.001728088
0.668799983	0.681998372	0.017422512	105.0001907	-0.001757953	-0.002131015
0.669599983	-0.500405073	0.087506324	105	-0.001964569	-0.001449734
0.670399983	-1.066564918	0.000905665	105	-0.002941489	-0.002041608
0.671199983	-0.879374325	-0.113080464	105	-0.002941489	-0.002642423
0.671999983	-0.479890615	-0.174742848	105	-0.001964569	-0.002947897
0.672799983	-0.152631909	-0.186736494	105	-1.13249E-05	-0.002501458
0.673599983	-0.022486834	-0.169315994	105	0.000964999	-0.002961904
0.674399983	0.003368234	-0.131123334	105	0.002918243	-0.002178401
0.675199983	0.005584216	-0.0838186	105	0.002918243	-0.002996773
0.675999983	-0.003929087	-0.038626578	105	0.003894567	-0.002445728
0.676799983	-0.089283518	-0.007610941	105	0.003894567	-0.002578348
0.677599983	-0.214287758	0.007831713	105	0.003894567	-0.002538711
0.678399983	-0.25876528	0.005984285	105	0.003894567	-0.00247106
0.679199983	-0.220052615	0.000197067	105	0.003894567	-0.002451092
0.679999983	-0.201978743	-0.001980714	105	0.003894567	-0.002463311
0.680799983	-0.185277596	-0.002023693	105	0.003894567	-0.002485365
0.681599983	-0.178960413	0.002881691	105	0.003894567	-0.00248298
0.682399983	-0.177105784	0.007174338	105	0.003894567	-0.002442449
0.683199983	-0.163505837	0.008960685	105	0.003894567	-0.00237599
0.683999983	-0.176169321	0.006213171	105	0.003894567	-0.002318472
0.684799983	-0.151168793	0.003880783	105	0.003894567	-0.002284497
0.685599983	-0.123963065	0.00451732	105	0.003894567	-0.002257079
0.686399983	-0.125849441	0.005944774	105	0.003894567	-0.002210885
0.687199983	-0.11433696	0.004953655	105	0.003894567	-0.002164394
0.687999983	-0.086245365	0.005115228	105	0.003894567	-0.002122968
0.688799983	-0.093958512	0.007062477	105	0.003894567	-0.002070516
0.689599983	-0.057427775	0.008217948	105	0.003894567	-0.002005547
0.690399983	-0.049269628	0.008346044	105	0.003894567	-0.001939088
0.691199983	-0.043289471	0.009443698	105	0.003894567	-0.001869053
0.691999983	-0.044035744	0.010294612	105	0.003894567	-0.001788586
0.692799982	-0.023800557	0.010459553	105	0.003894567	-0.001707524
0.693599982	-0.004473647	0.011037969	105	0.003894567	-0.001622885
0.694399982	0.00090921	0.013318608	105	0.003894567	-0.001523942
0.695199982	-0.003519265	0.01606885	105	0.003894567	-0.001405329
0.695999982	-0.003795405	0.018475914	105	0.002918243	-0.002241582
0.696799982	-0.03223829	0.017573962	105	0.003894567	-0.001111478
0.697599982	-0.026164118	0.01082138	105	0.002918243	-0.001977235
0.698399982	-0.006997363	0.00637603	105	0.002918243	-0.001915544
0.699199982	-0.002223334	0.004747778	105	0.002918243	-0.001875609
0.699999982	-0.002520839	0.005325878	105	0.002918243	-0.001837164
0.700799982	-0.00075148	0.00701045	105	0.002918243	-0.001786798
0.701599982	-0.003024331	0.009425417	105	0.002918243	-0.001718849
0.702399982	-0.006145157	0.011913971	105	0.002918243	-0.001630336
0.703199982	-0.000977898	0.01681925	105	0.002918243	-0.001511723
0.703999982	-0.001852858	0.022518188	105	0.002918243	-0.001349598
0.704799982	0.002268204	0.025891857	105	0.002918243	-0.001150519
0.705599982	0.001334426	0.02789085	105	0.001941323	-0.001908392
0.706399982	-0.002889932	0.028649088	105	0.001941323	-0.001678318
0.707199982	0.008746824	0.027904853	105	0.001941323	-0.001451522
0.707999982	-0.001235199	0.025706984	105	0.001941323	-0.001236647
0.708799982	-0.011969136	0.022710456	105	0.000964999	-0.002019554
0.709599982	-0.067293726	0.011598759	105	0.000964999	-0.001882464
0.710399982	-0.029891195	-0.001864154	105	0.000964999	-0.0018619
0.711199982	-0.00013456	-0.008731243	105	0.000964999	-0.001919419
0.711999982	-0.002979759	-0.007903151	105	0.001941323	-0.001017898
0.712799982	0.003979935	0.002896067	105	0.000964999	-0.002011508
0.713599982	0.004414393	0.013983205	105	0.000964999	-0.001928657
0.714399982	0.008008593	0.018569078	105	0.000964999	-0.0017865
0.715199982	0.001097989	0.018995395	105	0.000964999	-0.001633018
0.715999982	7.15586E-05	0.017531924	105	0.000964999	-0.001488775
0.716799982	0.000601549	0.015223909	105	0.000964999	-0.001360923
0.717599982	0.000595544	0.012648906	105	0.000964999	-0.001252741
0.718399982	-0.002930775	0.010709142	105	0.000964999	-0.001162738
0.719199982	-0.004933332	0.008054709	105	-1.13249E-05	-0.002066642
0.719999982	-0.052730355	-0.002299862	105	-1.13249E-05	-0.002043694
0.720799982	-0.004183622	-0.011403431	105	0.000964999	-0.001140386
0.721599982	0.001485461	-0.011516056	105	-1.13249E-05	-0.002218038
0.722399982	-0.001092926	-0.005124909	105	-1.13249E-05	-0.002285093
0.723199982	0.001123179	0.004038283	105	-1.13249E-05	-0.002281815
0.723999982	-0.051424716	0.008736741	105	-1.13249E-05	-0.002212673
0.724799982	-0.054351289	0.002753281	105	0.000964999	-0.001188368
0.725599982	-0.02508129	-0.004754616	105	-1.13249E-05	-0.002184063
0.726399982	-0.003347468	-0.006499772	105	-1.13249E-05	-0.002237707
0.727199982	0.002170975	-0.002343387	105	0.000964999	-0.001298338
0.727999982	0.008458723	0.004575344	105	-1.13249E-05	-0.002259463
0.728799982	-0.048236109	0.005696943	105	-1.13249E-05	-0.002205521
0.729599982	-0.030445429	-0.000491445	105	-1.13249E-05	-0.002188534
0.730399982	-0.009625401	-0.003783945	105	-1.13249E-05	-0.002215654
